time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/clip_range,rollout/ep_rew_mean,train/approx_kl,train/explained_variance,train/value_loss,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
622,1,2048,3,,,,,,,,,,,,,,
726,2,4096,5,-1.790290229022503,0.17359745502471924,4,0.0650634765625,0.1,-20.785714285714285,0.0028200462,-0.0033484697341918945,0.5794529709964991,0.00025,-0.0015806512965355068,831.6428571428571,,
795,3,6144,7,-1.7889009416103363,0.19928297400474548,8,0.0228271484375,0.1,-20.666666666666668,0.002309605,0.0033909082412719727,0.570850808173418,0.00025,-0.0010849779355339706,861.3888888888889,,
828,4,8192,9,-1.7821341007947922,0.3112771809101105,12,0.10986328125,0.1,-20.612903225806452,0.0018768243,0.014039874076843262,0.8354237377643585,0.00025,-0.00011235891724936664,868.5806451612904,,
852,5,10240,12,-1.778366893529892,0.5133264660835266,16,0.0238037109375,0.1,-20.682926829268293,0.001717071,0.012296497821807861,1.0252989940345287,0.00025,-0.0007049917185213417,866.1219512195122,,
869,6,12288,14,-1.7763165384531021,0.4911480247974396,20,0.0899658203125,0.1,-20.625,0.0023798803,0.008052527904510498,0.9770629480481148,0.00025,0.00034771182981785387,878.1666666666666,,
880,7,14336,16,-1.7730953395366669,0.35095447301864624,24,0.0865478515625,0.1,-20.683333333333334,0.0026309527,0.01695871353149414,0.8406700007617474,0.00025,-0.0014860410010442138,877.8833333333333,,
891,8,16384,18,-1.7803856208920479,0.6905674934387207,28,0.232666015625,0.1,-20.686567164179106,0.005025991,0.015056967735290527,1.3724974617362022,0.00025,-0.0027236088062636554,876.820895522388,,
898,9,18432,20,-1.7798763811588287,0.5427924394607544,32,0.0330810546875,0.1,-20.714285714285715,0.002237586,0.018076062202453613,1.0836774595081806,0.00025,-0.0005225051718298346,878.4935064935065,,
903,10,20480,22,-1.781235121190548,0.63407963514328,36,0.0999755859375,0.1,-20.696629213483146,0.0032885214,0.01683652400970459,1.4755164086818695,0.00025,-0.0011447573197074234,883.1910112359551,,
909,11,22528,24,-1.7792591154575348,0.7533631324768066,40,0.2008056640625,0.1,-20.677083333333332,0.00435936,0.02911776304244995,1.6073153465986252,0.00025,0.001047503639711067,884.8020833333334,,
913,12,24576,26,-1.780035063624382,0.4648555517196655,44,0.1248779296875,0.1,-20.64,0.0041950527,0.06001174449920654,1.1266508847475052,0.00025,-0.0008097414392977953,893.65,,
917,13,26624,29,-1.7828576192259789,0.7659095525741577,48,0.0592041015625,0.1,-20.65,0.0030373014,0.05311983823776245,1.3612295798957348,0.00025,-0.0009653155575506389,893.99,,
920,14,28672,31,-1.7739035040140152,0.4499642550945282,52,0.0560302734375,0.1,-20.67,0.0028641373,0.11873340606689453,1.0271501764655113,0.00025,-0.0005555682291742414,894.41,,
