time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/n_updates,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,eval/mean_reward,eval/mean_ep_length
23,47104,115.97,3.02,4147,11,0.021728515625,-1.4247874841094017,88,0.2,0.19860169291496277,0.424085246399045,0.6436774134635925,-0.0019917848985642195,0.0030458295,0.00025,,
24,49152,116.8,3.0,4155,11,0.0303955078125,-1.402171641588211,92,0.2,0.14953766763210297,0.34615008905529976,0.6841593980789185,0.0007660395349375904,0.0036304125,0.00025,,
25,51200,116.75,2.93,4163,12,0.0240478515625,-1.426121547818184,96,0.2,0.11393560469150543,0.29918826557695866,0.7003149390220642,-0.0006003371672704816,0.0024091501,0.00025,,
26,53248,116.92,2.87,4167,12,0.0072021484375,-1.3850854113698006,100,0.2,0.15822261571884155,0.3429738637059927,0.7188365459442139,6.413611117750406e-05,0.0012511807,0.00025,,
27,55296,118.7,2.95,4174,13,0.02783203125,-1.305944800376892,104,0.2,0.13847173750400543,0.34587109461426735,0.6796261072158813,-0.0020613472734112293,0.0024402176,0.00025,,
28,57344,119.35,2.89,4179,13,0.0631103515625,-1.2633399590849876,108,0.2,0.15600749850273132,0.34681301191449165,0.7024751901626587,-0.0032285633496940136,0.0014373546,0.00025,,
29,59392,119.42,2.93,4185,14,0.0152587890625,-1.3907452449202538,112,0.2,0.14614161849021912,0.3551772553473711,0.6205255389213562,-0.0013646787265315652,0.009153873,0.00025,,
30,61440,119.06,2.92,4191,14,0.009033203125,-1.4118914604187012,116,0.2,0.1445363163948059,0.3366956878453493,0.6648590564727783,-0.0007928664854262024,0.0032202336,0.00025,,
31,63488,118.8,2.87,4194,15,0.0174560546875,-1.4599807783961296,120,0.2,0.12906265258789062,0.3083687461912632,0.5737476348876953,-0.0019861765031237155,0.0030661684,0.00025,,
32,65536,118.42,2.87,4196,15,0.04345703125,-1.346381537616253,124,0.2,0.11941856145858765,0.29458568431437016,0.6190104484558105,-0.001697785861324519,0.0033465675,0.00025,,
33,67584,118.28,2.94,4199,16,0.0130615234375,-1.28498575091362,128,0.2,0.10454365611076355,0.2533685676753521,0.660270631313324,-0.0018918749265139922,0.0029954733,0.00025,,
34,69632,117.41,2.94,4203,16,0.09814453125,-1.1483812779188156,132,0.2,0.12271913886070251,0.28649657405912876,0.7066962718963623,-0.0007394769054371864,0.003205195,0.00025,,
35,71680,117.67,3.0,4206,17,0.019287109375,-1.1853992938995361,136,0.2,0.17043502628803253,0.4020786378532648,0.5858008861541748,-0.0012343957205303013,0.0032365308,0.00025,,
36,73728,119.57,3.2,4210,17,0.0369873046875,-1.1477615535259247,140,0.2,0.15457646548748016,0.3661993835121393,0.6787799596786499,-0.0035590025509009138,0.0041920976,0.00025,,
37,75776,119.29,3.16,4212,17,0.016357421875,-1.0986720770597458,144,0.2,0.16055770218372345,0.3417125456035137,0.7249143123626709,-0.0019395389826968312,0.0029004351,0.00025,,
38,77824,119.88,3.16,4213,18,0.0511474609375,-1.1191274151206017,148,0.2,0.17108185589313507,0.3473320621997118,0.7008950710296631,-0.0006439966382458806,0.0066822935,0.00025,,
39,79872,119.03,3.06,4214,18,0.0341796875,-1.2201021239161491,152,0.2,0.1211145669221878,0.31129851564764977,0.7304227352142334,-0.0012156411539763212,0.0034351128,0.00025,,
40,81920,121.99,3.23,4218,19,0.0439453125,-1.1606934741139412,156,0.2,0.15895600616931915,0.3821020219475031,0.6773349642753601,-0.002346484368899837,0.0065536527,0.00025,,
41,83968,122.46,3.23,4222,19,0.0115966796875,-1.1272338330745697,160,0.2,0.17459383606910706,0.37650359235703945,0.7624983191490173,-0.001258330827113241,0.004596105,0.00025,,
42,86016,122.46,3.15,4226,20,0.0101318359375,-1.0928253680467606,164,0.2,0.20511165261268616,0.4450712837278843,0.6831502914428711,-9.295952622778714e-05,0.0027072944,0.00025,,
43,88064,123.53,3.31,4229,20,0.0198974609375,-1.116131953895092,168,0.2,0.13728326559066772,0.33868104591965675,0.7187421321868896,-0.0013096490147290751,0.0053643584,0.00025,,
44,90112,122.66,3.3,4234,21,0.0440673828125,-1.0479309670627117,172,0.2,0.11634914577007294,0.2560615548864007,0.7688066959381104,-0.0018074696999974549,0.011618109,0.00025,,
45,92160,124.28,3.54,4235,21,0.0247802734375,-0.8623171336948872,176,0.2,0.1288071870803833,0.3308741860091686,0.7292056679725647,-0.003873441572068259,0.005133991,0.00025,,
