time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/explained_variance,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,eval/mean_reward,eval/mean_ep_length
71,855,61440,30,0.0024649752,0.9669371843338013,880.38,0.0960693359375,116,-1.7481834404170513,0.09915154285714287,-20.67,0.04362080246210098,-0.0012500137672759593,0.00024787885714285717,0.1928186418954283,,
74,856,63488,31,0.0011315616,0.9637541174888611,882.4,0.0279541015625,120,-1.7566529288887978,0.09912228571428572,-20.65,0.07173940539360046,-0.0008000095549505204,0.0002478057142857143,0.20564931072294712,,
76,856,65536,32,0.0015140505,0.9521141052246094,877.65,0.0948486328125,124,-1.7549145855009556,0.09909302857142858,-20.66,0.2195356786251068,-0.0021245165407890454,0.00024773257142857147,0.25344870053231716,,
78,857,67584,33,0.0016500836,0.9410219788551331,879.31,0.0533447265625,128,-1.7427530325949192,0.09906377142857142,-20.66,0.06918856501579285,-0.00040065670327749103,0.00024765942857142857,0.23097037384286523,,
81,858,69632,34,0.0043640807,0.9590291380882263,880.21,0.110595703125,132,-1.7482018359005451,0.09903451428571429,-20.67,0.08113221824169159,-0.0008763230434851721,0.0002475862857142857,0.19512392953038216,,
83,859,71680,35,0.0013477807,0.9792349338531494,877.55,0.056396484375,136,-1.7423174530267715,0.09900525714285714,-20.69,0.04210618883371353,-0.00032493541948497295,0.0002475131428571429,0.12573918607085943,,
85,860,73728,36,0.0021705013,0.9762109518051147,880.56,0.0372314453125,140,-1.7479917258024216,0.09897600000000001,-20.67,0.0456683523952961,-9.493471588939428e-05,0.00024744,0.1602314063347876,,
87,861,75776,37,0.002365279,0.9768852591514587,880.1,0.0828857421875,144,-1.7526312507689,0.09894674285714286,-20.68,0.06185011938214302,-0.002047749178018421,0.00024736685714285713,0.15199094451963902,,
90,862,77824,38,0.0028333762,0.9656552076339722,876.25,0.060791015625,148,-1.7499017231166363,0.09891748571428571,-20.71,0.0665474534034729,-0.00013504069647751749,0.0002472937142857143,0.22854902362450957,,
92,863,79872,39,0.0021738787,0.9697824120521545,883.98,0.1033935546875,152,-1.7433816939592361,0.09888822857142858,-20.69,0.12161540985107422,-0.0004125458362977952,0.00024722057142857143,0.1928149745799601,,
94,864,81920,40,0.0015876067,0.9572200179100037,890.69,0.053955078125,156,-1.7436066530644894,0.09885897142857143,-20.66,0.0783783495426178,-0.00028775805549230427,0.0002471474285714286,0.2686604238115251,,
96,865,83968,41,0.0015176606,0.9684874415397644,892.62,0.031005859375,160,-1.7328574806451797,0.0988297142857143,-20.64,0.07031755894422531,-0.0004340162413427606,0.00024707428571428574,0.17877462459728122,,
99,866,86016,42,0.0018858459,0.9700028896331787,897.71,0.0845947265625,164,-1.7240337952971458,0.09880045714285715,-20.66,0.03460928425192833,-0.002221082118921913,0.0002470011428571429,0.14105872670188546,,
101,867,88064,43,0.0019526553,0.9753032326698303,901.13,0.03955078125,168,-1.7429831437766552,0.0987712,-20.66,0.06458531320095062,-0.0013027170643908903,0.000246928,0.2661080742254853,,
103,868,90112,44,0.001944171,0.9535629749298096,905.47,0.08544921875,172,-1.7311237417161465,0.09874194285714287,-20.67,0.11203765869140625,-0.002356355107622221,0.00024685485714285714,0.2046944941394031,,
105,869,92160,45,0.001956069,0.9782609939575195,911.08,0.0316162109375,176,-1.7368361428380013,0.09871268571428572,-20.66,0.0554950088262558,-0.0010747507330961525,0.0002467817142857143,0.17902389145456254,,
108,870,94208,46,0.0023979582,0.9661076068878174,919.55,0.06982421875,180,-1.7281588949263096,0.09868342857142857,-20.64,0.10364125669002533,-0.0007908554835012183,0.0002467085714285714,0.16551888640969992,,
110,870,96256,47,0.0016412057,0.9741727113723755,915.37,0.0836181640625,184,-1.738129947334528,0.09865417142857143,-20.67,0.048512961715459824,-0.0015405947633553296,0.00024663542857142855,0.14149709837511182,,
112,871,98304,48,0.0023512882,0.9657971262931824,913.23,0.060546875,188,-1.7436340749263763,0.0986249142857143,-20.66,0.05554411560297012,-0.00145644428266678,0.0002465622857142857,0.13766158558428288,,
115,871,100352,49,0.0021337224,0.9633667469024658,909.85,0.03564453125,192,-1.732155330479145,0.09859565714285715,-20.67,0.03292759507894516,-0.0008766302053118125,0.00024648914285714285,0.15349692897871137,,
117,872,102400,50,0.0022926517,0.9818743467330933,912.4,0.086181640625,196,-1.7351435273885727,0.0985664,-20.67,0.04683023318648338,-0.0011698971793521196,0.000246416,0.24861319875344634,,
119,872,104448,51,0.0022453787,0.9487195611000061,903.48,0.0792236328125,200,-1.7232312597334385,0.09853714285714286,-20.7,0.04290059953927994,-0.0016819757292978466,0.00024634285714285716,0.15980844222940505,,
122,872,106496,52,0.0024519016,0.9800925254821777,902.76,0.083740234375,204,-1.7224919311702251,0.09850788571428572,-20.71,0.03834496811032295,-0.0009509575902484357,0.0002462697142857143,0.1390316674951464,,
124,873,108544,53,0.0017790787,0.9459337592124939,900.15,0.0377197265625,208,-1.724933348596096,0.09847862857142858,-20.67,0.10552891343832016,-0.0010851009865291417,0.0002461965714285714,0.2625257847830653,,
126,873,110592,54,0.0018565515,0.9650214910507202,898.5,0.0250244140625,212,-1.724328689277172,0.09844937142857144,-20.66,0.07429966330528259,-0.0007668829202884808,0.00024612342857142856,0.23120040958747268,,
128,873,112640,55,0.0018656328,0.9614294171333313,894.71,0.06298828125,216,-1.7362833060324192,0.09842011428571429,-20.66,0.08406438678503036,-0.001305506521021016,0.0002460502857142857,0.223883590195328,,
131,873,114688,56,0.0017745182,0.9549780488014221,890.44,0.0819091796875,220,-1.7221958003938198,0.09839085714285715,-20.68,0.052690453827381134,-0.0015627794346073642,0.00024597714285714287,0.17827364709228277,,
133,873,116736,57,0.0015067166,0.9681479930877686,892.21,0.0452880859375,224,-1.7308157719671726,0.09836160000000001,-20.65,0.061765655875205994,-0.0010814485285663977,0.000245904,0.15887475619092584,,
135,873,118784,58,0.0014029862,0.9535816311836243,892.61,0.0745849609375,228,-1.7122096829116344,0.09833234285714286,-20.65,0.08258665353059769,-0.0014744305663043633,0.0002458308571428571,0.17408556956797838,,
138,873,120832,59,0.0030153324,0.9775828123092651,895.88,0.09228515625,232,-1.7209726348519325,0.09830308571428571,-20.61,0.019575340673327446,-0.0008947514143073931,0.0002457577142857143,0.10886623873375356,,
140,873,122880,60,0.0019181962,0.9466065764427185,896.81,0.07666015625,236,-1.7241224944591522,0.09827382857142858,-20.63,0.09033068269491196,-0.0024939740542322397,0.0002456845714285714,0.20025453437119722,,
142,873,124928,61,0.002026237,0.9780908823013306,893.99,0.1026611328125,240,-1.7227501012384892,0.09824457142857143,-20.6,0.08341459929943085,-0.0019462703494355083,0.0002456114285714286,0.14364905888214707,,
145,873,126976,62,0.0009487487,0.959674060344696,900.01,0.0072021484375,244,-1.7263543792068958,0.09821531428571428,-20.58,0.05043783038854599,-0.0001473740121582523,0.00024553828571428573,0.1820329767651856,,
147,873,129024,63,0.0030915085,0.9714940190315247,904.52,0.1187744140625,248,-1.7130479030311108,0.09818605714285715,-20.59,0.1086154356598854,-0.0025122361548710614,0.0002454651428571429,0.15612165653146803,,
150,873,131072,64,0.0017628915,0.9587271809577942,910.57,0.0654296875,252,-1.7281093895435333,0.0981568,-20.6,0.06252970546483994,3.3593649277463555e-05,0.000245392,0.24223075760528445,,
152,872,133120,65,0.0019381902,0.9747322797775269,904.32,0.064453125,256,-1.7075952142477036,0.09812754285714287,-20.64,0.05015503242611885,0.0002849373850040138,0.00024531885714285714,0.22767332708463073,,
154,872,135168,66,0.0019528003,0.9820928573608398,905.56,0.08349609375,260,-1.704642541706562,0.09809828571428572,-20.66,0.020723095163702965,-0.0021196189481997862,0.0002452457142857143,0.14584690984338522,,
157,872,137216,67,0.0019732416,0.969401478767395,904.87,0.06005859375,264,-1.679941762238741,0.09806902857142857,-20.7,0.05313774570822716,-0.0007884229707997292,0.00024517257142857144,0.14766701869666576,,
159,872,139264,68,0.0014499697,0.9722009301185608,911.34,0.065185546875,268,-1.6849865019321442,0.09803977142857144,-20.67,0.08788877725601196,-0.0021931399751338176,0.0002450994285714286,0.17235776223242283,,
161,872,141312,69,0.0034696935,0.9645304679870605,917.15,0.1043701171875,272,-1.6849764622747898,0.09801051428571429,-20.66,0.06722749769687653,-0.0005656396824633703,0.00024502628571428575,0.14473459450528026,,
164,872,143360,70,0.0019527649,0.9738223552703857,917.11,0.0589599609375,276,-1.6828524321317673,0.09798125714285716,-20.7,0.03819016367197037,0.0004687981854658574,0.0002449531428571429,0.15245529520325363,,
166,872,145408,71,0.0011221103,0.9693611860275269,917.37,0.0157470703125,280,-1.6994296982884407,0.097952,-20.68,0.05705318972468376,0.0003789518668781966,0.00024488,0.1485067205503583,,
169,872,147456,72,0.0016266743,0.9668921828269958,920.33,0.0496826171875,284,-1.6906569600105286,0.09792274285714286,-20.69,0.13257527351379395,-0.0009945424098987132,0.00024480685714285715,0.21965259406715631,,
171,872,149504,73,0.0017888676,0.9751843810081482,922.11,0.0465087890625,288,-1.715156439691782,0.09789348571428572,-20.7,0.06914167106151581,-0.001911557963467203,0.0002447337142857143,0.1585317763965577,,
