time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
75776,116.77,37,4342,3.25,17,0.5894588232040405,0.16062933206558228,-0.0049094557762146,-0.8002248778939247,0.2,0.0017122698,0.0697021484375,0.00025,144,0.3387290872633457,,
77824,117.8,38,4335,3.35,17,0.5817423462867737,0.1872117668390274,-0.003401941532501951,-0.7821727283298969,0.2,0.004636463,0.03662109375,0.00025,148,0.3647105600684881,,
79872,116.94,39,4343,3.3,18,0.644210934638977,0.17819079756736755,-0.003258609474869445,-0.8138304650783539,0.2,0.006136585,0.063232421875,0.00025,152,0.3983441758900881,,
81920,115.74,40,4349,3.25,18,0.6361250877380371,0.1972140222787857,-0.002477230111253448,-0.7659747116267681,0.2,0.0075166114,0.0296630859375,0.00025,156,0.39996385760605335,,
83968,117.36,41,4365,3.4,19,0.6939196586608887,0.15721549093723297,-0.00032548903254792094,-0.7395650520920753,0.2,0.0019731098,0.0338134765625,0.00025,160,0.3982259016484022,,
86016,118.7,42,4371,3.41,19,0.7279815673828125,0.1360495388507843,0.0013398586015682667,-0.7237793691456318,0.2,0.0072346204,0.0467529296875,0.00025,164,0.35705723240971565,,
88064,119.56,43,4372,3.52,20,0.6950241923332214,0.1844264566898346,-0.0012224625097587705,-0.7648757845163345,0.2,0.0007007633,0.0013427734375,0.00025,168,0.38649213686585426,,
90112,117.55,44,4375,3.45,20,0.6627967357635498,0.1594202071428299,-0.004926545632770285,-0.698902502655983,0.2,0.0062783235,0.0577392578125,0.00025,172,0.32283121906220913,,
92160,117.34,45,4374,3.5,21,0.6822917461395264,0.14728982746601105,-0.001650592137593776,-0.70863376557827,0.2,0.0019068508,0.008056640625,0.00025,176,0.3023602310568094,,
94208,117.52,46,4376,3.5,21,0.6162630319595337,0.17203402519226074,-0.001540390047011897,-0.685442965477705,0.2,0.0035146535,0.01123046875,0.00025,180,0.38328393176198006,,
