rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/learning_rate,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/clip_range,train/explained_variance,eval/mean_ep_length,eval/mean_reward
-160.28,30,3331,18,45.88,61440,116,0.0001,3897.9669647216797,0.0,0.0026762756,0.0015399490657728165,-1.324192114174366,1974.5220947265625,0.2,0.0039942264556884766,,
-174.56,31,3351,18,48.63,63488,120,0.0001,4625.015319824219,0.1190185546875,0.01130352,0.000937483215238899,-1.3119888007640839,2570.61279296875,0.2,0.00768435001373291,,
-177.74,32,3369,19,49.24,65536,124,0.0001,3905.5620727539062,0.0352783203125,0.012802648,0.000202060560695827,-1.2760625556111336,1935.9820556640625,0.2,0.010400891304016113,,
-182.63,33,3388,19,50.07,67584,128,0.0001,3946.2632446289062,0.20361328125,0.017835306,0.005435145285446197,-1.3279672786593437,1675.4658203125,0.2,0.018758773803710938,,
-163.76,34,3403,20,47.04,69632,132,0.0001,4532.632827758789,0.0020751953125,0.004778943,0.0009528785012662411,-1.3557332456111908,2300.61669921875,0.2,0.011624693870544434,,
-168.07,35,3419,20,48.08,71680,136,0.0001,5540.810516357422,0.116943359375,0.020131404,0.0005221693427301943,-1.3775818720459938,2812.50537109375,0.2,0.005905330181121826,,
-161.26,36,3430,21,46.28,73728,140,0.0001,3824.5686950683594,0.090087890625,0.019515282,0.002743636548984796,-1.3734988197684288,1597.87939453125,0.2,0.014364004135131836,,
,,,,,74976,144,0.0001,4123.171401977539,0.085205078125,0.0047684787,0.0007404398347716779,-1.3603181689977646,2120.062255859375,0.2,0.007449984550476074,75.0,-300.0
-143.36,37,3262,23,43.08,75776,,,,,,,,,,,,
-159.06,38,3277,23,46.66,77824,148,0.0001,4601.682769775391,0.0,0.0026430278,-0.0006936666904948652,-1.3681584894657135,2526.005126953125,0.2,0.028824329376220703,,
