time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,eval/mean_ep_length,eval/mean_reward,train/loss,train/learning_rate,train/n_updates
71,863.04,0.01,1019,73136,-20.76,340,,,,,
72,857.99,0.01,1019,73885,-20.78,344,,,,,
73,861.41,0.01,1019,74745,-20.76,348,,,,,
74,860.11,0.01,1019,75599,-20.77,352,,,,,
74,861.64,0.01,1019,76443,-20.77,356,,,,,
75,859.84,0.01,1019,77248,-20.76,360,,,,,
76,860.71,0.01,1019,78102,-20.77,364,,,,,
77,859.28,0.01,1019,78937,-20.77,368,,,,,
78,857.5,0.01,1019,79729,-20.79,372,,,,,
79,857.26,0.01,1019,80603,-20.79,376,,,,,
80,861.43,0.01,1019,81567,-20.77,380,,,,,
80,859.6,0.01,1019,82398,-20.79,384,,,,,
81,861.41,0.01,1019,83267,-20.8,388,,,,,
82,860.23,0.01,1019,84082,-20.81,392,,,,,
83,860.36,0.01,1019,84914,-20.83,396,,,,,
84,862.57,0.01,1019,85764,-20.83,400,,,,,
85,865.41,0.01,1019,86665,-20.81,404,,,,,
85,871.55,0.01,1019,87591,-20.77,408,,,,,
86,871.71,0.01,1019,88389,-20.77,412,,,,,
87,873.47,0.01,1019,89249,-20.73,416,,,,,
88,872.17,0.01,1019,90108,-20.71,420,,,,,
89,877.19,0.01,1019,91042,-20.69,424,,,,,
90,874.18,0.01,1019,91872,-20.7,428,,,,,
90,872.89,0.01,1019,92743,-20.71,432,,,,,
91,870.75,0.01,1019,93527,-20.7,436,,,,,
92,871.52,0.01,1019,94374,-20.7,440,,,,,
93,875.66,0.01,1019,95232,-20.69,444,,,,,
94,876.19,0.01,1019,96105,-20.7,448,,,,,
95,875.46,0.01,1019,96932,-20.7,452,,,,,
95,874.57,0.01,1019,97765,-20.69,456,,,,,
96,876.08,0.01,1019,98610,-20.69,460,,,,,
97,876.22,0.01,1019,99474,-20.69,464,,,,,
,,0.01,,100000,,,764.0,-21.0,,,
103,878.09,0.01,965,100349,-20.69,468,,,0.0037854225374758244,0.0001,87
105,876.1,0.01,960,101096,-20.69,472,,,0.016427723690867424,0.0001,273
106,871.03,0.01,955,101839,-20.7,476,,,0.042387306690216064,0.0001,459
107,861.93,0.01,950,102575,-20.74,480,,,0.04411633685231209,0.0001,643
109,859.77,0.01,945,103347,-20.73,484,,,0.06673738360404968,0.0001,836
110,854.78,0.01,940,104087,-20.73,488,,,0.02825515903532505,0.0001,1021
111,852.6,0.01,936,104837,-20.73,492,,,0.04135478287935257,0.0001,1209
113,849.37,0.01,931,105573,-20.73,496,,,0.05655767023563385,0.0001,1393
114,845.51,0.01,927,106328,-20.72,500,,,0.0023949129972606897,0.0001,1581
116,839.17,0.01,923,107075,-20.74,504,,,0.004654683172702789,0.0001,1768
117,831.67,0.01,918,107816,-20.78,508,,,0.015912042930722237,0.0001,1953
118,829.79,0.01,914,108569,-20.78,512,,,0.03901831805706024,0.0001,2142
120,826.11,0.01,910,109337,-20.81,516,,,0.015557770617306232,0.0001,2334
121,821.52,0.01,906,110079,-20.85,520,,,0.05024725943803787,0.0001,2519
122,814.66,0.01,902,110852,-20.87,524,,,0.009949343279004097,0.0001,2712
124,811.84,0.01,899,111617,-20.87,528,,,0.02160392515361309,0.0001,2904
125,806.95,0.01,895,112356,-20.88,532,,,0.03867565095424652,0.0001,3088
126,805.17,0.01,892,113107,-20.89,536,,,0.030494604259729385,0.0001,3276
128,801.78,0.01,888,113866,-20.9,540,,,0.020816991105675697,0.0001,3466
129,797.03,0.01,885,114607,-20.91,544,,,0.025916997343301773,0.0001,3651
130,791.7,0.01,881,115354,-20.92,548,,,0.015085196122527122,0.0001,3838
132,788.19,0.01,878,116101,-20.93,552,,,0.020395595580339432,0.0001,4025
133,786.09,0.01,874,116868,-20.94,556,,,0.01738021895289421,0.0001,4216
134,782.53,0.01,871,117629,-20.94,560,,,0.024012479931116104,0.0001,4407
136,778.11,0.01,868,118385,-20.94,564,,,0.02470351569354534,0.0001,4596
137,772.56,0.01,865,119137,-20.96,568,,,0.025296509265899658,0.0001,4784
139,772.56,0.01,862,119874,-20.96,572,,,0.018756890669465065,0.0001,4968
140,772.56,0.01,859,120612,-20.96,576,,,0.017002150416374207,0.0001,5152
141,772.56,0.01,856,121353,-20.96,580,,,0.00423761922866106,0.0001,5338
143,771.29,0.01,853,122098,-20.97,584,,,0.00664872583001852,0.0001,5524
144,771.29,0.01,851,122834,-20.97,588,,,0.0030505629256367683,0.0001,5708
145,770.91,0.01,848,123579,-20.97,592,,,0.006617550738155842,0.0001,5894
147,770.91,0.01,845,124318,-20.97,596,,,0.02513018622994423,0.0001,6079
148,771.36,0.01,843,125088,-20.98,600,,,0.016067389398813248,0.0001,6271
149,771.36,0.01,840,125830,-20.98,604,,,0.003776967991143465,0.0001,6457
151,771.36,0.01,837,126576,-20.98,608,,,0.03634226322174072,0.0001,6643
152,771.7,0.01,835,127335,-20.97,612,,,0.0027526854537427425,0.0001,6833
