time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,eval/mean_ep_length,eval/mean_reward
30720,-126.69,15,3240,37.93,9,3070.24658203125,-1.0782635062932968,56,0.0684814453125,0.0007430906989611685,0.011141367,5737.924499511719,0.010343551635742188,0.2,0.0001,,
32768,-123.47,16,3271,37.74,10,2665.87939453125,-1.1442310214042664,60,0.0867919921875,0.0025004784984048456,0.011181738,5396.0078125,0.01434338092803955,0.2,0.0001,,
34816,-162.76,17,3308,43.43,10,2706.50634765625,-1.1240504309535027,64,0.122802734375,-0.0018149776151403785,0.0017093982,6453.665557861328,0.020049691200256348,0.2,0.0001,,
36864,-197.55,18,3336,48.56,11,1893.2618408203125,-1.069245159626007,68,0.191162109375,0.0003135883598588407,0.008445146,3931.1268615722656,0.005140066146850586,0.2,0.0001,,
38912,-178.2,19,3358,45.48,11,2372.498291015625,-1.1129481568932533,72,0.034423828125,0.0001600470277480781,0.0023410218,4640.443450927734,-0.009420037269592285,0.2,0.0001,,
40960,-165.14,20,3381,43.37,12,2820.781494140625,-1.1183437258005142,76,0.1165771484375,-0.001122104498790577,0.00222605,5354.0281982421875,0.018874287605285645,0.2,0.0001,,
43008,-148.12,21,3403,40.64,12,2442.494873046875,-1.165055938065052,80,0.2017822265625,0.0069847420090809464,0.015455584,5293.833343505859,0.01521754264831543,0.2,0.0001,,
45056,-152.89,22,3423,40.97,13,2612.28125,-1.046602912247181,84,0.1650390625,0.003309794788947329,0.008693876,5786.938079833984,0.028450965881347656,0.2,0.0001,,
47104,-166.04,23,3442,43.86,13,2589.197998046875,-1.0466300509870052,88,0.01904296875,0.00044221512507647276,0.00773904,4783.55224609375,0.012213408946990967,0.2,0.0001,,
49152,-141.78,24,3456,40.79,14,2934.31396484375,-1.1589156836271286,92,0.1514892578125,0.002065292384941131,0.004921894,5491.536560058594,0.0016408562660217285,0.2,0.0001,,
49984,,,,,,3378.236572265625,-1.0301121398806572,96,0.0789794921875,-0.0011908300803042948,0.015145857,6280.847900390625,0.018999457359313965,0.2,0.0001,58.4,-293.25
51200,-162.99,25,3255,43.18,15,,,,,,,,,,,,
53248,-174.08,26,3275,44.14,16,2488.36181640625,-0.9489517509937286,100,0.1282958984375,0.0024315263726748526,0.0060468265,4963.101715087891,-0.007662773132324219,0.2,0.0001,,
55296,-158.59,27,3295,42.37,16,2759.40673828125,-0.8889085315167904,104,0.1356201171875,0.005622014752589166,0.020782325,5755.611236572266,0.013110756874084473,0.2,0.0001,,
57344,-172.1,28,3314,44.77,17,2959.53857421875,-0.8604862987995148,108,0.17626953125,0.0025747039762791246,0.010235513,5804.528106689453,-0.0016465187072753906,0.2,0.0001,,
59392,-172.13,29,3332,44.24,17,2637.294189453125,-0.9631141200661659,112,0.1290283203125,0.007039130374323577,0.014327723,5580.447814941406,-0.0010988712310791016,0.2,0.0001,,
61440,-179.73,30,3348,45.09,18,2537.360595703125,-0.8576996587216854,116,0.062744140625,0.0010030282428488135,0.008550632,5439.345153808594,0.013941049575805664,0.2,0.0001,,
63488,-185.55,31,3362,44.96,18,2358.5888671875,-0.4069758877158165,120,0.1826171875,0.03345402079867199,0.08446007,5032.3387451171875,0.00886678695678711,0.2,0.0001,,
65536,-167.57,32,3378,42.75,19,2452.02685546875,-0.6022922433912754,124,0.077880859375,-0.003680510213598609,0.004046521,5062.801300048828,0.0183447003364563,0.2,0.0001,,
67584,-170.1,33,3395,43.28,19,3048.273681640625,-0.5641398839652538,128,0.0765380859375,0.003811197413597256,0.00910848,6333.7342529296875,0.005356132984161377,0.2,0.0001,,
69632,-152.99,34,3405,40.58,20,2398.105712890625,-0.4672099146991968,132,0.0220947265625,-0.0010707195615395904,0.0005444727,5106.261779785156,0.013205528259277344,0.2,0.0001,,
71680,-155.03,35,3417,41.44,20,3607.358154296875,-0.5345085095614195,136,0.0579833984375,-0.0009662951051723212,0.0010330752,6446.868713378906,0.0157892107963562,0.2,0.0001,,
73728,-199.54,36,3430,47.21,21,2520.513427734375,-0.5108002815395594,140,0.05078125,0.0012852034415118396,0.0025205351,4902.787200927734,0.017286598682403564,0.2,0.0001,,
74976,,,,,,2378.289794921875,-0.49432258680462837,144,0.028076171875,-0.0005160697910469025,0.0046558757,4860.980285644531,0.02087610960006714,0.2,0.0001,49.2,-227.0
75776,-200.55,37,3319,46.92,22,,,,,,,,,,,,
77824,-184.62,38,3331,44.15,23,2451.181884765625,-0.32752639055252075,148,0.09619140625,0.0128849723841995,0.011328289,4675.963104248047,0.03455275297164917,0.2,0.0001,,
79872,-179.03,39,3343,43.91,23,2755.64404296875,-0.5030276477336884,152,0.0633544921875,-0.001991712677408941,0.0053385813,5641.307678222656,0.031085431575775146,0.2,0.0001,,
81920,-219.3,40,3356,49.66,24,2533.313720703125,-0.4756276160478592,156,0.03125,0.0010783900506794453,0.0052257963,5639.129943847656,0.016525328159332275,0.2,0.0001,,
83968,-177.64,41,3367,43.58,24,1673.4456787109375,-0.49731205217540264,160,0.0728759765625,0.004609612951753661,0.007861179,3652.005615234375,0.06175297498703003,0.2,0.0001,,
86016,-136.77,42,3377,38.04,25,2900.526611328125,-0.7144363857805729,164,0.0916748046875,0.00037013590917922556,0.011684305,6336.649871826172,0.022183239459991455,0.2,0.0001,,
88064,-152.96,43,3388,40.8,25,2354.257080078125,-0.7293901778757572,168,0.102783203125,0.0023640842991881073,0.012202645,5280.505401611328,0.005544602870941162,0.2,0.0001,,
90112,-125.2,44,3399,36.48,26,3148.873046875,-0.7409665510058403,172,0.1383056640625,0.008019952976610512,0.005333868,5853.140899658203,-0.010503172874450684,0.2,0.0001,,
92160,-161.2,45,3411,41.38,27,2605.797119140625,-0.7311803959310055,176,0.0859375,0.0010036468447651714,0.0039747166,5246.788970947266,0.019838809967041016,0.2,0.0001,,
