time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
492,124,-20.7,26255,53,867.97,0.8700377500000004,0.0001,4063,0.005852146074175835,,
487,128,-20.66,27167,55,870.7,0.8655233500000004,0.0001,4291,0.0044509610161185265,,
483,132,-20.66,27936,57,868.07,0.8617168000000002,0.0001,4483,0.004990702494978905,,
480,136,-20.66,28810,60,866.53,0.8573904999999999,0.0001,4702,0.007868446409702301,,
476,140,-20.66,29656,62,866.46,0.8532028000000005,0.0001,4913,0.006438500247895718,,
474,144,-20.67,30456,64,862.77,0.8492427999999999,0.0001,5113,0.02967257983982563,,
469,148,-20.66,31331,66,864.6,0.84491155,0.0001,5332,0.03829431161284447,,
466,152,-20.65,32258,69,868.92,0.8403229000000005,0.0001,5564,0.018263723701238632,,
462,156,-20.65,33169,71,870.81,0.8358134500000001,0.0001,5792,0.028730014339089394,,
459,160,-20.65,33968,73,870.64,0.8318584,0.0001,5991,0.019899604842066765,,
456,164,-20.66,34818,76,871.6,0.8276509,0.0001,6204,0.011733782477676868,,
454,168,-20.68,35686,78,871.5,0.8233542999999994,0.0001,6421,0.00533246248960495,,
451,172,-20.68,36505,80,871.92,0.81930025,0.0001,6626,0.012041296809911728,,
450,176,-20.69,37329,82,871.66,0.8152214500000002,0.0001,6832,0.0020730954129248857,,
448,180,-20.69,38176,85,873.2,0.8110288000000001,0.0001,7043,0.008982229046523571,,
445,184,-20.68,38995,87,875.9,0.8069747500000005,0.0001,7248,0.03269678354263306,,
443,188,-20.7,39781,89,872.75,0.8030840499999996,0.0001,7445,0.029019813984632492,,
441,192,-20.7,40655,92,873.67,0.7987577499999995,0.0001,7663,0.007107364479452372,,
439,196,-20.68,41577,94,873.8,0.7941938500000001,0.0001,7894,0.006321842782199383,,
437,200,-20.65,42455,97,875.42,0.7898477500000005,0.0001,8113,0.028364133089780807,,
435,204,-20.63,43338,99,878.3,0.7854768999999995,0.0001,8334,0.024558983743190765,,
434,208,-20.65,44238,101,878.45,0.7810219,0.0001,8559,0.0021305710542947054,,
432,212,-20.61,45142,104,880.73,0.7765470999999999,0.0001,8785,0.011895084753632545,,
430,216,-20.59,45983,106,881.04,0.7723841499999995,0.0001,8995,0.009691694751381874,,
428,220,-20.58,46930,109,883.12,0.7676965000000004,0.0001,9232,0.0033927196636795998,,
426,224,-20.57,47828,112,884.45,0.7632514000000001,0.0001,9456,0.0049046967178583145,,
425,228,-20.61,48663,114,881.59,0.7591181500000005,0.0001,9665,0.008055309765040874,,
423,232,-20.61,49486,116,883.4,0.7550443000000004,0.0001,9871,0.0038443394005298615,,
421,236,-20.58,50388,119,884.69,0.7505793999999995,0.0001,10096,0.014112480916082859,,
420,240,-20.59,51262,121,885.58,0.7462531000000003,0.0001,10315,0.01332023274153471,,
419,244,-20.58,52160,124,889.63,0.741808,0.0001,10539,0.013216130435466766,,
417,248,-20.57,53091,127,891.9,0.73719955,0.0001,10772,0.0183048564940691,,
416,252,-20.58,53865,129,886.03,0.7333682499999998,0.0001,10966,0.008833752945065498,,
415,256,-20.59,54672,131,882.02,0.7293735999999997,0.0001,11167,0.009496377781033516,,
414,260,-20.59,55498,133,883.18,0.7252848999999998,0.0001,11374,0.0057752239517867565,,
413,264,-20.58,56365,136,884.08,0.72099325,0.0001,11591,0.0023320927284657955,,
412,268,-20.57,57269,138,885.32,0.7165184499999999,0.0001,11817,0.012340896762907505,,
411,272,-20.58,58195,141,889.19,0.71193475,0.0001,12048,0.00303384056314826,,
410,276,-20.6,59026,143,889.2,0.7078213,0.0001,12256,0.0083023551851511,,
408,280,-20.61,59928,146,891.84,0.7033564000000001,0.0001,12481,0.03520001098513603,,
407,284,-20.61,60782,149,893.45,0.6991290999999995,0.0001,12695,0.030754514038562775,,
406,288,-20.6,61623,151,895.47,0.6949661500000002,0.0001,12905,0.0067529198713600636,,
405,292,-20.6,62459,154,894.23,0.6908279499999999,0.0001,13114,0.00942179374396801,,
404,296,-20.63,63310,156,891.35,0.6866155,0.0001,13327,0.023218434303998947,,
402,300,-20.66,64221,159,892.9,0.6821060499999996,0.0001,13555,0.020652053877711296,,
401,304,-20.69,65055,162,890.62,0.6779777499999996,0.0001,13763,0.008878232911229134,,
400,308,-20.71,65922,164,889.34,0.6736860999999998,0.0001,13980,0.0031590904109179974,,
399,312,-20.75,66779,167,887.47,0.6694439500000005,0.0001,14194,0.026626501232385635,,
397,316,-20.75,67693,170,890.14,0.6649196500000001,0.0001,14423,0.009547770954668522,,
397,320,-20.77,68581,172,887.69,0.66052405,0.0001,14645,0.009096557274460793,,
395,324,-20.77,69433,175,886.04,0.6563066499999997,0.0001,14858,0.026073070243000984,,
395,328,-20.77,70309,177,887.63,0.6519704500000003,0.0001,15077,0.004557490348815918,,
394,332,-20.76,71222,180,891.42,0.6474511000000005,0.0001,15305,0.0022347047924995422,,
393,336,-20.78,72078,183,889.82,0.6432138999999997,0.0001,15519,0.017093755304813385,,
392,340,-20.77,72945,185,889.42,0.6389222499999998,0.0001,15736,0.00920543260872364,,
391,344,-20.79,73806,188,888.11,0.6346602999999998,0.0001,15951,0.017223795875906944,,
390,348,-20.82,74628,191,883.91,0.6305914000000005,0.0001,16156,0.03554762527346611,,
389,352,-20.81,75493,193,887.19,0.6263096499999998,0.0001,16373,0.007932266220450401,,
388,356,-20.79,76343,196,888.99,0.6221021499999997,0.0001,16585,0.02508092112839222,,
387,360,-20.77,77236,199,891.93,0.6176817999999996,0.0001,16808,0.011572597548365593,,
387,364,-20.77,78047,201,889.98,0.6136673500000002,0.0001,17011,0.005665677599608898,,
386,368,-20.79,78958,204,890.26,0.6091578999999996,0.0001,17239,0.03725174441933632,,
385,372,-20.77,79809,206,887.66,0.60494545,0.0001,17452,0.007257167249917984,,
385,376,-20.77,80714,209,890.38,0.6004657000000002,0.0001,17678,0.007546387612819672,,
384,380,-20.76,81624,212,890.63,0.5959612000000004,0.0001,17905,0.00790186133235693,,
383,384,-20.76,82506,215,891.54,0.5915953000000003,0.0001,18126,0.013704591430723667,,
383,388,-20.76,83356,217,891.78,0.5873878000000001,0.0001,18338,0.0044158147647976875,,
382,392,-20.75,84252,220,893.73,0.5829526,0.0001,18562,0.019318660721182823,,
382,396,-20.74,85131,222,894.54,0.5786015499999997,0.0001,18782,0.009018681943416595,,
381,400,-20.74,85995,225,892.87,0.5743247499999997,0.0001,18998,0.021099679172039032,,
381,404,-20.74,86922,228,896.78,0.5697361000000003,0.0001,19230,0.01773861050605774,,
