time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,rollout/ep_len_mean,train/clip_range,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
2048,3,1,604,,,,,,,,,,,,,,
4096,5,2,704,-0.00021302398818079382,-0.0033484697341918945,-1.790750652551651,0.0108642578125,0.20169322192668915,-20.846153846153847,0.00024992685714285716,4,811.7692307692307,0.09997074285714286,0.469822034239769,0.0010774012,,
6144,8,3,764,-0.001504499843576923,0.013127326965332031,-1.786884505301714,0.0172119140625,0.19036681950092316,-20.761904761904763,0.0002498537142857143,8,844.0,0.09994148571428572,0.5324432766065001,0.0021101795,,
8192,10,4,796,0.0012399073457345366,0.034669578075408936,-1.778709515929222,0.0897216796875,0.2281825691461563,-20.78125,0.00024978057142857146,12,855.46875,0.09991222857142858,0.7235546596348286,0.0009198709,,
10240,12,5,820,3.5962730180472136e-05,0.012385129928588867,-1.772650733590126,0.063720703125,0.4108678698539734,-20.80952380952381,0.00024970742857142856,16,853.5238095238095,0.09988297142857144,0.9624196849763393,0.0017191807,,
12288,14,6,836,-0.0018880823627114296,0.027180731296539307,-1.7661612406373024,0.1983642578125,0.49917542934417725,-20.770833333333332,0.0002496342857142857,20,860.5416666666666,0.0998537142857143,0.9997843578457832,0.0025663502,,
14336,16,7,846,-0.0014254236011765897,0.05352818965911865,-1.7539680153131485,0.17431640625,0.3215286433696747,-20.766666666666666,0.00024956114285714287,24,871.3666666666667,0.09982445714285715,0.7598412027582526,0.002872875,,
16384,19,8,856,-0.0006605115486308932,0.06699061393737793,-1.7554460689425468,0.197021484375,0.5857261419296265,-20.757575757575758,0.00024948799999999997,28,875.2878787878788,0.0997952,1.2575253583490849,0.0022793482,,
18432,21,9,861,-0.00027384441636968404,0.1037401556968689,-1.747892800718546,0.0963134765625,0.5062058568000793,-20.696202531645568,0.0002494148571428571,32,886.0253164556962,0.09976594285714285,0.8887562416493893,0.002320331,,
20480,23,10,867,8.910614997148514e-05,0.23393720388412476,-1.7429082803428173,0.0745849609375,0.46138298511505127,-20.719101123595507,0.00024934171428571427,36,882.5280898876405,0.09973668571428572,1.0777300111949444,0.0022753133,,
22528,25,11,871,-0.0011047417792724445,0.4762278199195862,-1.7365830577909946,0.111083984375,0.2590334117412567,-20.736842105263158,0.0002492685714285714,40,878.8736842105263,0.09970742857142857,0.7778601031750441,0.0015543196,,
24576,28,12,874,-0.0010178329539485276,0.5767800807952881,-1.7355274111032486,0.0777587890625,0.19814017415046692,-20.71,0.0002491954285714286,44,887.22,0.09967817142857144,0.6281978897750378,0.0023728102,,
26624,30,13,878,-0.0008396034099860117,0.6972569227218628,-1.7358502261340618,0.0965576171875,0.6668525338172913,-20.75,0.00024912228571428573,48,878.16,0.09964891428571429,0.9258147682994604,0.0028656926,,
28672,32,14,881,0.00012380331463646144,0.7343640327453613,-1.7449607476592064,0.00146484375,0.28602147102355957,-20.73,0.0002490491428571429,52,884.17,0.09961965714285714,0.7919748276472092,0.0014300729,,
30720,34,15,883,-0.0021040481951786205,0.7877289652824402,-1.7552346400916576,0.157958984375,0.4195726811885834,-20.72,0.000248976,56,885.36,0.09959040000000001,0.7791262064129114,0.002688287,,
32768,37,16,885,-0.0010717820841819048,0.7929664850234985,-1.7598575167357922,0.134765625,0.31432461738586426,-20.7,0.00024890285714285714,60,889.54,0.09956114285714286,0.7437349166721106,0.0016249879,,
34816,39,17,887,-0.0007200930267572403,0.8376853466033936,-1.7619189284741879,0.030517578125,0.29843834042549133,-20.73,0.0002488297142857143,64,883.87,0.09953188571428573,0.9240135364234447,0.0018250898,,
36864,41,18,889,-0.0005333889130270109,0.8280553817749023,-1.7611080929636955,0.0521240234375,0.28849849104881287,-20.7,0.00024875657142857144,68,886.1,0.09950262857142858,0.674817219376564,0.0021157253,,
38912,43,19,890,0.0002278325118822977,0.8726094961166382,-1.7540332935750484,0.0338134765625,0.2564994692802429,-20.72,0.0002486834285714286,72,881.36,0.09947337142857143,0.669499734416604,0.002442001,,
40960,45,20,892,-0.001003942932584323,0.8858191967010498,-1.7535423785448074,0.07666015625,0.2531362473964691,-20.72,0.00024861028571428575,76,877.94,0.0994441142857143,0.5050743985921144,0.0017066324,,
43008,48,21,893,-0.002404965489404276,0.8515979647636414,-1.7431272752583027,0.099609375,0.23077507317066193,-20.71,0.00024853714285714285,80,888.97,0.09941485714285714,0.4890081835910678,0.0031708241,,
