time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/exploration_rate,time/fps,rollout/ep_len_mean,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/loss,train/n_updates
396,-20.78,84736,0.01,1017,876.86,83,,,,,
400,-20.76,85551,0.01,1017,875.75,84,,,,,
404,-20.76,86327,0.01,1017,869.0,84,,,,,
408,-20.76,87205,0.01,1017,870.15,85,,,,,
412,-20.77,88112,0.01,1017,870.26,86,,,,,
416,-20.76,89034,0.01,1017,875.62,87,,,,,
420,-20.74,89929,0.01,1017,878.81,88,,,,,
424,-20.72,90761,0.01,1017,879.13,89,,,,,
428,-20.72,91603,0.01,1017,882.35,90,,,,,
432,-20.71,92460,0.01,1017,883.7,90,,,,,
436,-20.72,93253,0.01,1017,879.23,91,,,,,
440,-20.72,94102,0.01,1017,879.28,92,,,,,
444,-20.74,94977,0.01,1017,878.58,93,,,,,
448,-20.75,95803,0.01,1017,877.64,94,,,,,
452,-20.71,96739,0.01,1017,879.77,95,,,,,
456,-20.71,97652,0.01,1017,879.2,95,,,,,
460,-20.7,98479,0.01,1017,878.56,96,,,,,
464,-20.7,99304,0.01,1017,875.0,97,,,,,
,,100000,0.01,,,,764.0,-21.0,,,
468,-20.7,100165,0.01,965,874.44,103,,,0.0001,0.04353666305541992,41
472,-20.7,100901,0.01,960,870.83,105,,,0.0001,0.04405146837234497,225
476,-20.71,101648,0.01,955,866.99,106,,,0.0001,0.09158127009868622,411
480,-20.72,102389,0.01,950,863.96,107,,,0.0001,0.06655830144882202,597
484,-20.73,103126,0.01,946,858.51,109,,,0.0001,0.07024510949850082,781
488,-20.75,103876,0.01,941,854.98,110,,,0.0001,0.017724012956023216,968
492,-20.75,104633,0.01,936,851.53,111,,,0.0001,0.01705530658364296,1158
496,-20.77,105370,0.01,932,848.03,113,,,0.0001,0.041793882846832275,1342
500,-20.79,106131,0.01,927,845.61,114,,,0.0001,0.007933340966701508,1532
504,-20.78,106881,0.01,923,845.11,115,,,0.0001,0.08026982098817825,1720
508,-20.79,107615,0.01,919,839.71,117,,,0.0001,0.02731163613498211,1903
512,-20.8,108358,0.01,915,833.64,118,,,0.0001,0.01714158244431019,2089
516,-20.81,109115,0.01,910,826.56,119,,,0.0001,0.03168831020593643,2278
520,-20.82,109899,0.01,906,821.8,121,,,0.0001,0.013137958012521267,2474
524,-20.84,110644,0.01,903,818.21,122,,,0.0001,0.010654252022504807,2660
528,-20.83,111421,0.01,899,815.29,123,,,0.0001,0.02299238182604313,2855
532,-20.85,112206,0.01,895,812.57,125,,,0.0001,0.039919763803482056,3051
536,-20.85,112960,0.01,891,811.21,126,,,0.0001,0.009413648396730423,3239
540,-20.85,113752,0.01,888,808.96,128,,,0.0001,0.011305192485451698,3437
544,-20.85,114654,0.01,884,809.74,129,,,0.0001,0.009205462411046028,3663
548,-20.86,115429,0.01,880,807.59,131,,,0.0001,0.012186277657747269,3857
552,-20.9,116219,0.01,877,801.72,132,,,0.0001,0.004399776458740234,4054
556,-20.92,116971,0.01,874,795.28,133,,,0.0001,0.01146136224269867,4242
560,-20.93,117783,0.01,870,794.82,135,,,0.0001,0.00689241336658597,4445
564,-20.94,118534,0.01,867,791.76,136,,,0.0001,0.005200341809540987,4633
568,-20.96,119270,0.01,864,786.86,137,,,0.0001,0.024651940912008286,4817
572,-20.96,120033,0.01,861,787.46,139,,,0.0001,0.008026167750358582,5008
576,-20.96,120788,0.01,858,788.06,140,,,0.0001,0.005004058126360178,5196
580,-20.96,121583,0.01,855,790.5,142,,,0.0001,0.004665406420826912,5395
584,-20.94,122409,0.01,852,794.06,143,,,0.0001,0.03343328833580017,5602
588,-20.93,123265,0.01,849,798.65,145,,,0.0001,0.010754561051726341,5816
592,-20.92,124069,0.01,846,800.83,146,,,0.0001,0.004114200361073017,6017
596,-20.92,124868,0.01,843,802.91,147,,,0.0001,0.028405597433447838,6216
600,-20.92,125613,0.01,841,802.29,149,,,0.0001,0.017382891848683357,6403
604,-20.93,126403,0.01,838,803.41,150,,,0.0001,0.01689036190509796,6600
608,-20.92,127174,0.01,835,804.36,152,,,0.0001,0.04958176985383034,6793
612,-20.92,127948,0.01,833,805.41,153,,,0.0001,0.009831098839640617,6986
616,-20.92,128728,0.01,830,806.01,154,,,0.0001,0.01000149454921484,7181
620,-20.93,129503,0.01,828,805.82,156,,,0.0001,0.042251862585544586,7375
624,-20.92,130361,0.01,825,810.26,157,,,0.0001,0.005885694175958633,7590
628,-20.93,131166,0.01,822,811.3,159,,,0.0001,0.006681597325950861,7791
632,-20.93,131928,0.01,820,810.38,160,,,0.0001,0.004734070971608162,7981
636,-20.93,132694,0.01,818,810.64,162,,,0.0001,0.0038976301439106464,8173
640,-20.93,133498,0.01,816,810.98,163,,,0.0001,0.004103297367691994,8374
644,-20.93,134255,0.01,813,805.33,164,,,0.0001,0.031148407608270645,8563
648,-20.93,135024,0.01,811,805.34,166,,,0.0001,0.004833292216062546,8755
652,-20.92,135854,0.01,809,806.77,167,,,0.0001,0.0032459907233715057,8963
656,-20.92,136604,0.01,807,806.83,169,,,0.0001,0.005576040130108595,9150
660,-20.93,137378,0.01,805,805.51,170,,,0.0001,0.029512783512473106,9344
664,-20.93,138118,0.01,803,805.23,171,,,0.0001,0.009868877939879894,9529
668,-20.93,138858,0.01,801,805.23,173,,,0.0001,0.00840185396373272,9714
672,-20.93,139601,0.01,799,804.63,174,,,0.0001,0.009495962411165237,9900
676,-20.93,140364,0.01,797,804.93,176,,,0.0001,0.017531786113977432,10090
680,-20.93,141119,0.01,795,803.1,177,,,0.0001,0.0030061581637710333,10279
684,-20.95,141902,0.01,793,801.28,178,,,0.0001,0.01524559035897255,10475
688,-20.96,142651,0.01,791,796.69,180,,,0.0001,0.07682402431964874,10662
692,-20.97,143411,0.01,789,794.81,181,,,0.0001,0.01890980824828148,10852
696,-20.97,144149,0.01,787,792.73,182,,,0.0001,0.0069977892562747,11037
700,-20.97,144885,0.01,786,792.73,184,,,0.0001,0.010730976238846779,11221
704,-20.97,145640,0.01,784,791.47,185,,,0.0001,0.009075306355953217,11409
708,-20.98,146402,0.01,782,791.08,187,,,0.0001,0.0024565658532083035,11600
712,-20.97,147170,0.01,781,790.65,188,,,0.0001,0.006297088693827391,11792
716,-20.97,147941,0.01,779,790.65,189,,,0.0001,0.017614495009183884,11985
720,-20.97,148699,0.01,777,790.05,191,,,0.0001,0.031634457409381866,12174
724,-20.98,149436,0.01,776,785.61,192,,,0.0001,0.002489028498530388,12358
728,-20.97,150208,0.01,774,784.6,193,,,0.0001,0.003798076417297125,12551
732,-20.97,150985,0.01,773,785.22,195,,,0.0001,0.002119587268680334,12746
736,-20.97,151719,0.01,771,784.34,196,,,0.0001,0.024163274094462395,12929
740,-20.97,152481,0.01,770,782.53,197,,,0.0001,0.020453864708542824,13120
744,-20.97,153253,0.01,768,783.28,199,,,0.0001,0.0075307609513401985,13313
748,-20.97,154004,0.01,767,782.04,200,,,0.0001,0.014221196994185448,13500
752,-20.97,154818,0.01,765,781.44,202,,,0.0001,0.00501726008951664,13704
756,-20.97,155563,0.01,764,780.82,203,,,0.0001,0.006290724966675043,13890
760,-20.97,156371,0.01,762,782.05,204,,,0.0001,0.007602579891681671,14092
764,-20.97,157136,0.01,761,783.13,206,,,0.0001,0.018766749650239944,14283
768,-20.97,157903,0.01,760,784.01,207,,,0.0001,0.01362607441842556,14475
772,-20.97,158657,0.01,758,784.63,209,,,0.0001,0.013810216449201107,14664
776,-20.97,159431,0.01,757,784.93,210,,,0.0001,0.0065384721383452415,14857
780,-20.97,160172,0.01,756,784.32,211,,,0.0001,0.0040978603065013885,15042
784,-20.96,160958,0.01,754,784.22,213,,,0.0001,0.017600247636437416,15239
788,-20.96,161711,0.01,753,784.5,214,,,0.0001,0.004540690686553717,15427
792,-20.95,162487,0.01,752,785.0,215,,,0.0001,0.005968284793198109,15621
796,-20.93,163343,0.01,750,789.57,217,,,0.0001,0.003605256788432598,15835
800,-20.91,164209,0.01,749,794.32,219,,,0.0001,0.006606642622500658,16052
804,-20.91,165012,0.01,748,796.24,220,,,0.0001,0.033226244151592255,16252
808,-20.91,165803,0.01,747,797.66,221,,,0.0001,0.022718695923686028,16450
812,-20.92,166561,0.01,745,797.32,223,,,0.0001,0.005199653096497059,16640
816,-20.92,167352,0.01,744,797.9,224,,,0.0001,0.045267585664987564,16837
820,-20.92,168111,0.01,743,798.2,226,,,0.0001,0.004283837974071503,17027
824,-20.92,168930,0.01,742,801.22,227,,,0.0001,0.011661611497402191,17232
828,-20.93,169690,0.01,741,800.54,228,,,0.0001,0.005457732826471329,17422
832,-20.93,170508,0.01,739,802.05,230,,,0.0001,0.005275893956422806,17626
836,-20.93,171299,0.01,738,803.83,231,,,0.0001,0.09097906202077866,17824
840,-20.92,172108,0.01,737,805.87,233,,,0.0001,0.019313782453536987,18026
844,-20.92,172870,0.01,736,805.54,234,,,0.0001,0.0060041602700948715,18217
848,-20.91,173643,0.01,735,807.13,236,,,0.0001,0.005546740721911192,18410
852,-20.91,174461,0.01,734,807.49,237,,,0.0001,0.009553791955113411,18615
856,-20.91,175269,0.01,733,809.95,239,,,0.0001,0.0025409329682588577,18817
860,-20.88,176166,0.01,732,813.44,240,,,0.0001,0.014467131346464157,19041
864,-20.88,176984,0.01,731,815.46,242,,,0.0001,0.010715397074818611,19245
868,-20.86,177894,0.01,729,821.31,243,,,0.0001,0.005748923402279615,19473
872,-20.83,178781,0.01,728,826.69,245,,,0.0001,0.013392424210906029,19695
876,-20.83,179562,0.01,727,826.98,246,,,0.0001,0.00805466715246439,19890
880,-20.83,180376,0.01,726,829.88,248,,,0.0001,0.013016300275921822,20093
884,-20.83,181206,0.01,725,831.81,249,,,0.0001,0.02939019724726677,20301
888,-20.82,182062,0.01,724,835.9,251,,,0.0001,0.04025933891534805,20515
892,-20.82,182890,0.01,723,837.87,252,,,0.0001,0.016335172578692436,20722
896,-20.82,183745,0.01,722,837.74,254,,,0.0001,0.006526617333292961,20936
900,-20.84,184558,0.01,721,835.85,255,,,0.0001,0.007835316471755505,21139
904,-20.83,185436,0.01,720,838.73,257,,,0.0001,0.016916830092668533,21358
908,-20.82,186255,0.01,719,839.78,258,,,0.0001,0.006024795584380627,21563
912,-20.82,186994,0.01,719,839.6,260,,,0.0001,0.015984803438186646,21748
916,-20.78,187927,0.01,718,845.2,261,,,0.0001,0.012487318366765976,21981
920,-20.77,188735,0.01,717,847.1,263,,,0.0001,0.0352659597992897,22183
924,-20.74,189582,0.01,716,848.3,264,,,0.0001,0.008637916296720505,22395
928,-20.71,190453,0.01,715,852.65,266,,,0.0001,0.021213890984654427,22613
932,-20.71,191307,0.01,714,854.34,267,,,0.0001,0.007569031789898872,22826
936,-20.7,192194,0.01,713,858.17,269,,,0.0001,0.009715601801872253,23048
940,-20.69,193092,0.01,712,861.72,270,,,0.0001,0.005719202104955912,23272
944,-20.68,193954,0.01,711,865.74,272,,,0.0001,0.015935881063342094,23488
948,-20.67,194809,0.01,710,868.64,274,,,0.0001,0.005883754696696997,23702
952,-20.66,195739,0.01,709,873.2,275,,,0.0001,0.005804891232401133,23934
956,-20.65,196583,0.01,709,874.96,277,,,0.0001,0.0049326736479997635,24145
960,-20.65,197491,0.01,708,875.62,278,,,0.0001,0.004880954977124929,24372
964,-20.64,198360,0.01,707,877.71,280,,,0.0001,0.007977103814482689,24589
