time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/value_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
2774,0.5789473684210527,78.36842105263158,2048,1,0,,,,,,,,,,,,
2876,0.6923076923076923,80.17948717948718,4096,2,1,0.09569595754146576,0.4298283103853464,4,0.2,-0.000366063293768093,0.00030991746,-2.079027846455574,0.0033461451530456543,0.00025,0.0,,
3227,0.5846153846153846,82.96923076923076,6144,3,1,0.08409824222326279,0.21367658488452435,8,0.2,-0.0013671988563146442,0.0016149441,-2.0777524262666702,0.12738347053527832,0.00025,0.0,,
3456,0.7857142857142857,86.54761904761905,8192,4,2,0.056457698345184326,0.20304501708596945,12,0.2,-0.005013756483094767,0.009328714,-2.06120628118515,0.36890679597854614,0.00025,0.07568359375,,
3586,1.07,92.12,10240,5,2,0.11993417143821716,0.29104275815188885,16,0.2,-0.005236634984612465,0.0080922805,-2.03340283036232,0.32903361320495605,0.00025,0.0914306640625,,
3701,1.3,95.95,12288,6,3,0.09781266748905182,0.24931582156568766,20,0.2,-0.004621163854608312,0.0069135632,-2.005896732211113,0.4377654194831848,0.00025,0.0626220703125,,
3771,1.7,102.25,14336,7,3,0.11643459647893906,0.2814022693783045,24,0.2,-0.0023528124584117904,0.0050885607,-1.9747362285852432,0.4626985192298889,0.00025,0.021240234375,,
3832,2.11,107.01,16384,8,4,0.1893635243177414,0.38408537209033966,28,0.2,-0.0030936260882299393,0.0072729927,-1.9361167699098587,0.4558793902397156,0.00025,0.0572509765625,,
3875,2.36,108.44,18432,9,4,0.14965645968914032,0.3336656615138054,32,0.2,-0.0025054289144463837,0.004707093,-1.887916162610054,0.5465191602706909,0.00025,0.033203125,,
3919,2.39,108.38,20480,10,5,0.1382523626089096,0.318170502781868,36,0.2,-0.004385829204693437,0.010806852,-1.8293216452002525,0.6313187479972839,0.00025,0.0623779296875,,
3949,2.56,108.69,22528,11,5,0.17052213847637177,0.3546018432825804,40,0.2,-0.0004408012027852237,0.0029018298,-1.8508809432387352,0.6055423021316528,0.00025,0.0008544921875,,
3972,2.41,105.63,24576,12,6,0.12487269937992096,0.31789401173591614,44,0.2,-0.0004728594212792814,0.0030454542,-1.870089314877987,0.5963156223297119,0.00025,0.0042724609375,,
3994,2.44,105.1,26624,13,6,0.12554089725017548,0.3001070022583008,48,0.2,-0.0009755612118169665,0.006531599,-1.889577679336071,0.5714361667633057,0.00025,0.0673828125,,
4008,2.49,106.12,28672,14,7,0.130588099360466,0.336093844845891,52,0.2,-0.005566080508287996,0.0071121096,-1.9117496982216835,0.5178203582763672,0.00025,0.0888671875,,
4021,2.54,107.95,30720,15,7,0.12465548515319824,0.31123619712889194,56,0.2,-0.004241067246766761,0.010258679,-1.8582506775856018,0.5926316976547241,0.00025,0.044921875,,
4031,2.39,106.13,32768,16,8,0.13553453981876373,0.3220787048339844,60,0.2,-0.0014563431323040277,0.0026949989,-1.882769376039505,0.4980124831199646,0.00025,0.002685546875,,
4038,2.48,106.94,34816,17,8,0.10781420767307281,0.29180931113660336,64,0.2,-0.001499714097008109,0.0050897757,-1.8091586455702782,0.5857975482940674,0.00025,0.0303955078125,,
4049,2.61,109.65,36864,18,9,0.12735497951507568,0.31155557557940483,68,0.2,-0.0022347264166455716,0.009281136,-1.7992181107401848,0.5270309448242188,0.00025,0.0286865234375,,
4060,2.67,110.46,38912,19,9,0.15532785654067993,0.37630362063646317,72,0.2,-0.0009234195458702743,0.011158327,-1.7036042362451553,0.5294589400291443,0.00025,0.0975341796875,,
4067,2.7,111.39,40960,20,10,0.12192554771900177,0.3082218933850527,76,0.2,-0.0031207984138745815,0.009238931,-1.711686059832573,0.6084109544754028,0.00025,0.0670166015625,,
4078,2.95,114.06,43008,21,10,0.09646977484226227,0.28549063950777054,80,0.2,-0.0026450975274201483,0.004156151,-1.6865856274962425,0.6409673094749451,0.00025,0.040283203125,,
4088,3.13,117.06,45056,22,11,0.1287337839603424,0.3510472998023033,84,0.2,-0.0023903815599624068,0.0042994353,-1.6736247316002846,0.653989851474762,0.00025,0.0091552734375,,
4096,3.19,119.29,47104,23,11,0.13756722211837769,0.37460882589221,88,0.2,-0.0031156910117715597,0.0044324584,-1.6250407099723816,0.5929675102233887,0.00025,0.0377197265625,,
4105,3.14,117.75,49152,24,11,0.15654021501541138,0.37556667625904083,92,0.2,-0.002987187879625708,0.009267317,-1.5631613060832024,0.6214269399642944,0.00025,0.0377197265625,,
4112,3.03,116.04,51200,25,12,0.1578604131937027,0.3861090186983347,96,0.2,-0.0011361200595274568,0.0023804125,-1.498834304511547,0.6072323322296143,0.00025,0.026611328125,,
4117,2.98,113.6,53248,26,12,0.17538225650787354,0.34871173836290836,100,0.2,-0.004175526089966297,0.006786784,-1.4739075154066086,0.591903567314148,0.00025,0.0726318359375,,
4124,2.86,111.39,55296,27,13,0.17898428440093994,0.4540260825306177,104,0.2,-0.0018971925019286573,0.0067755566,-1.5526014491915703,0.6120675802230835,0.00025,0.0460205078125,,
4127,2.81,112.01,57344,28,13,0.10125317424535751,0.292628875002265,108,0.2,-0.005654354899888858,0.008017536,-1.4781935662031174,0.7358235120773315,0.00025,0.072021484375,,
4134,2.76,111.7,59392,29,14,0.17545777559280396,0.3608789388090372,112,0.2,-0.001487296452978626,0.0026287958,-1.3741560727357864,0.6923789978027344,0.00025,0.0234375,,
4137,2.78,111.56,61440,30,14,0.17197977006435394,0.3906481619924307,116,0.2,-0.0016368706710636616,0.004558891,-1.391886830329895,0.6916176080703735,0.00025,0.0255126953125,,
4140,2.86,111.89,63488,31,15,0.1735585778951645,0.39108188450336456,120,0.2,-0.0025940475170500576,0.0078101633,-1.3370517492294312,0.6491801142692566,0.00025,0.045654296875,,
4145,2.91,112.81,65536,32,15,0.18673625588417053,0.3729781471192837,124,0.2,-0.0010370410745963454,0.0023276594,-1.3432840630412102,0.7287931442260742,0.00025,0.021484375,,
4151,2.92,112.14,67584,33,16,0.14342127740383148,0.3366683218628168,128,0.2,-0.002687637635972351,0.0066082655,-1.417420171201229,0.7441264390945435,0.00025,0.010498046875,,
4152,3.01,110.74,69632,34,16,0.17667236924171448,0.35952784679830074,132,0.2,-0.0016355367115465924,0.00934834,-1.3030318468809128,0.6815443634986877,0.00025,0.0380859375,,
4156,3.16,112.43,71680,35,17,0.09849442541599274,0.24631799198687077,136,0.2,-0.004237402928993106,0.006885239,-1.249563604593277,0.7671381235122681,0.00025,0.071044921875,,
4163,3.17,113.91,73728,36,17,0.12213343381881714,0.27935861703008413,140,0.2,-0.0019157445058226585,0.0048723607,-1.1561269834637642,0.7589718103408813,0.00025,0.03662109375,,
4168,3.08,112.54,75776,37,18,0.15512152016162872,0.3065287806093693,144,0.2,-0.0010057926992885768,0.003307333,-1.2168859243392944,0.7033769488334656,0.00025,0.049560546875,,
4174,3.16,113.74,77824,38,18,0.1037263572216034,0.26463940739631653,148,0.2,-0.0012269880098756403,0.008238356,-1.1052241623401642,0.7206380367279053,0.00025,0.024658203125,,
4175,3.19,114.18,79872,39,19,0.10727962851524353,0.2674672733992338,152,0.2,0.0002704295329749584,0.004298273,-1.0665387883782387,0.7385400533676147,0.00025,0.0213623046875,,
4176,3.15,113.95,81920,40,19,0.1139255166053772,0.2940157353878021,156,0.2,-0.0004371765535324812,0.0032608425,-1.1045569255948067,0.7312841415405273,0.00025,0.0233154296875,,
4181,3.28,114.66,83968,41,20,0.12681548297405243,0.2995779272168875,160,0.2,-0.000921268219826743,0.0022627525,-1.0386922843754292,0.7331847548484802,0.00025,0.007568359375,,
4184,3.34,114.12,86016,42,20,0.10651605576276779,0.2682567620649934,164,0.2,-0.00020108907483518124,0.0019085407,-1.1061508059501648,0.7788205146789551,0.00025,0.022216796875,,
4187,3.47,115.65,88064,43,21,0.16114820539951324,0.33403455279767513,168,0.2,-0.0009336811199318618,0.0024436808,-1.073286421597004,0.7453525066375732,0.00025,0.0245361328125,,
4188,3.44,115.82,90112,44,21,0.17028222978115082,0.35371469520032406,172,0.2,0.0007682229625061154,0.0017037003,-1.1709116101264954,0.7658971548080444,0.00025,0.0196533203125,,
4192,3.4,116.07,92160,45,21,0.1538238525390625,0.3048864081501961,176,0.2,-0.00018671652651391923,0.0039221845,-1.1323024332523346,0.7459440231323242,0.00025,0.0345458984375,,
4194,3.48,116.93,94208,46,22,0.14316508173942566,0.2920321309939027,180,0.2,-0.0017529935576021671,0.0053467746,-1.0990023165941238,0.7455338835716248,0.00025,0.0576171875,,
4198,3.49,116.48,96256,47,22,0.14472892880439758,0.3244620990008116,184,0.2,0.0022911050473339856,0.0029555392,-1.1503999456763268,0.6716762781143188,0.00025,0.0606689453125,,
4201,3.52,117.46,98304,48,23,0.12004312872886658,0.2954809535294771,188,0.2,-0.000943166931392625,0.0053276056,-1.1449034735560417,0.6894750595092773,0.00025,0.0322265625,,
,,,100000,,,0.12205375730991364,0.29536509327590466,192,0.2,-0.0019083847728325054,0.004018653,-1.140478476881981,0.7183115482330322,0.00025,0.0140380859375,116.2,3.6
3892,3.48,116.17,100352,49,25,,,,,,,,,,,,
3899,3.59,117.49,102400,50,26,0.12398087978363037,0.28460125997662544,196,0.2,-0.0025827368954196572,0.0047206897,-1.0369612649083138,0.7330448627471924,0.00025,0.0264892578125,,
3906,3.58,117.7,104448,51,26,0.19419804215431213,0.37182460725307465,200,0.2,0.00012550083920359612,0.0053605265,-1.0940543413162231,0.714183509349823,0.00025,0.051025390625,,
3911,3.56,117.93,106496,52,27,0.12724220752716064,0.2933306209743023,204,0.2,0.0008789220300968736,0.0061124787,-1.2319728434085846,0.7322968244552612,0.00025,0.0394287109375,,
3919,3.5,117.59,108544,53,27,0.15422075986862183,0.35497196577489376,208,0.2,-0.000656033749692142,0.0008887257,-1.1051590740680695,0.697223961353302,0.00025,0.02001953125,,
