rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
0.01,891.7,73071,1012,-20.64,72,340,,,,,
0.01,891.9,73923,1012,-20.65,72,344,,,,,
0.01,893.45,74792,1012,-20.63,73,348,,,,,
0.01,889.38,75627,1012,-20.65,74,352,,,,,
0.01,887.38,76511,1012,-20.66,75,356,,,,,
0.01,889.55,77419,1013,-20.65,76,360,,,,,
0.01,893.28,78339,1013,-20.63,77,364,,,,,
0.01,890.71,79180,1013,-20.63,78,368,,,,,
0.01,893.95,80099,1013,-20.64,79,372,,,,,
0.01,892.63,80939,1013,-20.64,79,376,,,,,
0.01,888.46,81783,1013,-20.66,80,380,,,,,
0.01,889.47,82675,1013,-20.67,81,384,,,,,
0.01,885.51,83448,1013,-20.69,82,388,,,,,
0.01,886.97,84371,1013,-20.64,83,392,,,,,
0.01,890.05,85250,1013,-20.62,84,396,,,,,
0.01,890.25,86108,1013,-20.63,84,400,,,,,
0.01,892.69,87005,1013,-20.62,85,404,,,,,
0.01,889.68,87829,1013,-20.62,86,408,,,,,
0.01,888.62,88681,1013,-20.63,87,412,,,,,
0.01,884.95,89554,1013,-20.67,88,416,,,,,
0.01,885.34,90384,1013,-20.67,89,420,,,,,
0.01,882.35,91222,1013,-20.67,90,424,,,,,
0.01,882.2,92029,1013,-20.67,90,428,,,,,
0.01,879.6,92904,1013,-20.7,91,432,,,,,
0.01,881.0,93788,1013,-20.68,92,436,,,,,
0.01,883.32,94643,1013,-20.67,93,440,,,,,
0.01,885.26,95536,1013,-20.65,94,444,,,,,
0.01,883.4,96354,1013,-20.65,95,448,,,,,
0.01,886.05,97255,1013,-20.65,95,452,,,,,
0.01,884.22,98102,1013,-20.64,96,456,,,,,
0.01,884.99,99013,1013,-20.62,97,460,,,,,
0.01,881.07,99821,1012,-20.64,98,464,,,,,
0.01,,100000,,,,,-21.0,764.0,,,
0.01,878.14,100579,957,-20.66,104,468,,,144,0.0001,0.04369015619158745
0.01,870.96,101320,952,-20.67,106,472,,,329,0.0001,0.055115971714258194
0.01,867.89,102077,947,-20.67,107,476,,,519,0.0001,0.03164742887020111
0.01,863.78,102819,942,-20.68,109,480,,,704,0.0001,0.042808081954717636
0.01,857.77,103562,937,-20.69,110,484,,,890,0.0001,0.016621623188257217
0.01,856.54,104303,933,-20.69,111,488,,,1075,0.0001,0.01566389761865139
0.01,849.23,105041,928,-20.74,113,492,,,1260,0.0001,0.042384758591651917
0.01,843.9,105784,924,-20.76,114,496,,,1445,0.0001,0.018139924854040146
0.01,839.81,106541,919,-20.77,115,500,,,1635,0.0001,0.045783501118421555
0.01,833.87,107289,915,-20.78,117,504,,,1822,0.0001,0.03707259148359299
0.01,831.76,108065,911,-20.78,118,508,,,2016,0.0001,0.01112932525575161
0.01,827.94,108817,907,-20.79,119,512,,,2204,0.0001,0.013282153755426407
0.01,822.94,109560,903,-20.8,121,516,,,2389,0.0001,0.038814738392829895
0.01,820.57,110325,899,-20.8,122,520,,,2581,0.0001,0.023947546258568764
0.01,817.24,111083,896,-20.82,123,524,,,2770,0.0001,0.013306738808751106
0.01,815.29,111837,892,-20.82,125,528,,,2959,0.0001,0.010258563794195652
0.01,811.13,112598,888,-20.83,126,532,,,3149,0.0001,0.005580849014222622
0.01,806.05,113361,884,-20.85,128,536,,,3340,0.0001,0.006299164146184921
