time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/learning_rate,train/clip_range,train/value_loss,eval/mean_ep_length,eval/mean_reward
2048,0.0,0,1,76.11764705882354,2398,,,,,,,,,,,,
4096,-0.08888888888888889,1,2,77.71111111111111,2648,0.07957087457180023,-4.220698610879481e-05,-1.38555346429348,-0.050579071044921875,0.0013817849,4,0.0,0.00025,0.2,0.45236450154334307,,
6144,-0.02857142857142857,2,3,78.01428571428572,2993,0.054476507008075714,-0.0022344897588482127,-1.3807882890105247,0.2535170912742615,0.005426764,8,0.002685546875,0.00025,0.2,0.20644416380673647,,
8192,0.1368421052631579,2,4,80.6421052631579,3208,0.07266777008771896,-0.003987084812251851,-1.3464039489626884,0.4840899705886841,0.0056172647,12,0.0775146484375,0.00025,0.2,0.20010840613394976,,
10240,0.41,3,5,84.86,3362,0.06394530087709427,-0.003919001843314618,-1.3394919633865356,0.5526974201202393,0.010689414,16,0.0460205078125,0.00025,0.2,0.18244389910250902,,
12288,0.73,3,6,89.18,3465,0.046661630272865295,-0.004504020209424198,-1.2859067022800446,0.5942543745040894,0.013342599,20,0.0826416015625,0.00025,0.2,0.184905543923378,,
14336,1.17,4,7,94.5,3536,0.12106511741876602,-0.0007430056866724044,-1.2601269409060478,0.4067274332046509,0.0073482767,24,0.0225830078125,0.00025,0.2,0.275792021304369,,
16384,1.55,4,8,99.18,3601,0.11530549824237823,-0.0016035771986935288,-1.196497343480587,0.5242383480072021,0.012213804,28,0.0357666015625,0.00025,0.2,0.2679444355890155,,
18432,1.93,5,9,103.66,3655,0.1378006935119629,-0.0031721372215542942,-1.1143320202827454,0.40505868196487427,0.0064755213,32,0.1094970703125,0.00025,0.2,0.32793304324150085,,
20480,2.1,5,10,104.11,3695,0.12666064500808716,-0.0038138071831781417,-1.0534435734152794,0.50190269947052,0.004250006,36,0.06689453125,0.00025,0.2,0.2827605661004782,,
22528,2.19,6,11,104.18,3732,0.10656453669071198,-0.002627180190756917,-1.0975356698036194,0.47797077894210815,0.008247286,40,0.060302734375,0.00025,0.2,0.23796246014535427,,
24576,2.31,6,12,103.0,3761,0.11712053418159485,-0.006781796342693269,-0.9769908711314201,0.515048623085022,0.018019166,44,0.1063232421875,0.00025,0.2,0.29735786840319633,,
26624,2.48,7,13,103.41,3785,0.11375874280929565,-0.0006030563090462238,-1.0116729959845543,0.45002442598342896,0.0042789476,48,0.0306396484375,0.00025,0.2,0.24774831905961037,,
28672,2.72,7,14,103.37,3805,0.14586231112480164,-0.0015655386669095606,-1.0026380233466625,0.5095163583755493,0.0006327043,52,0.0224609375,0.00025,0.2,0.3311143387109041,,
30720,3.09,8,15,107.0,3821,0.1026865616440773,-0.002982860547490418,-0.9786181226372719,0.5997663736343384,0.0070092436,56,0.0435791015625,0.00025,0.2,0.24221540428698063,,
32768,3.2,8,16,105.35,3829,0.16120818257331848,0.0005193988035898656,-1.0042031593620777,0.5224390029907227,0.010425732,60,0.146484375,0.00025,0.2,0.3052188493311405,,
34816,3.33,9,17,107.54,3850,0.13059371709823608,-0.0007909193518571556,-0.9387129321694374,0.570733904838562,0.00074604584,64,0.03857421875,0.00025,0.2,0.3093108721077442,,
36864,3.34,9,18,109.04,3864,0.1657520979642868,-0.0010605179704725742,-0.9893611520528793,0.5068172216415405,0.005902066,68,0.0126953125,0.00025,0.2,0.36975881084799767,,
38912,3.35,10,19,109.63,3875,0.18480482697486877,-0.0011552573705557734,-0.991160660982132,0.4540666341781616,0.0027370628,72,0.021728515625,0.00025,0.2,0.4224079567939043,,
40960,3.4,10,20,110.79,3888,0.1091063842177391,-0.004576464532874525,-0.938287977129221,0.5441860556602478,0.0053756204,76,0.155029296875,0.00025,0.2,0.27863572910428047,,
43008,3.37,11,21,111.89,3899,0.10498933494091034,0.00020331927225925028,-0.9075015969574451,0.5005868673324585,0.0073110433,80,0.0501708984375,0.00025,0.2,0.26069308537989855,,
45056,3.56,11,22,114.54,3908,0.14423012733459473,-0.001082028291421011,-0.9542709179222584,0.5115598440170288,0.014105338,84,0.11865234375,0.00025,0.2,0.30270883068442345,,
47104,3.42,12,23,113.14,3920,0.1066393330693245,-0.0018934091785922647,-1.0003397576510906,0.5496858358383179,0.0027600615,88,0.012939453125,0.00025,0.2,0.26793358102440834,,
49152,3.45,12,24,112.51,3932,0.11023427546024323,-0.002903405256802216,-0.9895505085587502,0.6477067470550537,0.008354665,92,0.032958984375,0.00025,0.2,0.2994070444256067,,
51200,3.54,13,25,113.19,3938,0.12876266241073608,-0.0034128865227103233,-0.9521857462823391,0.5744668245315552,0.002305731,96,0.02490234375,0.00025,0.2,0.325235141441226,,
53248,3.7,13,26,114.26,3951,0.13697117567062378,-0.00614403875079006,-0.9405079744756222,0.5689929723739624,0.00798143,100,0.11279296875,0.00025,0.2,0.33181759156286716,,
55296,3.6,13,27,112.77,3961,0.12078554183244705,-0.0022074493463151157,-0.9196600690484047,0.6253822445869446,0.0052248337,104,0.0682373046875,0.00025,0.2,0.29184236004948616,,
57344,3.61,14,28,112.53,3971,0.14442357420921326,0.0012637679174076766,-0.9066719487309456,0.5627272129058838,0.015393851,108,0.1329345703125,0.00025,0.2,0.31840862333774567,,
59392,3.91,14,29,116.18,3977,0.18109937012195587,-0.0002235589927295223,-0.930347166955471,0.5287048816680908,0.0043632863,112,0.1092529296875,0.00025,0.2,0.3747074995189905,,
61440,3.85,15,30,114.86,3987,0.17446818947792053,-0.0025933089636964723,-0.878625899553299,0.5319225788116455,0.006905701,116,0.052978515625,0.00025,0.2,0.38333985209465027,,
63488,3.87,15,31,115.8,3992,0.18578441441059113,-0.0019984838145319372,-0.8258673138916492,0.49150973558425903,0.004030534,120,0.025146484375,0.00025,0.2,0.35917049273848534,,
65536,3.94,16,32,117.83,4001,0.16577821969985962,-0.0033290451974608004,-0.7950058132410049,0.5942999720573425,0.00899449,124,0.10693359375,0.00025,0.2,0.3783735763281584,,
67584,4.08,16,33,119.73,4011,0.1787542998790741,0.00029134703800082207,-0.8019596412777901,0.5820322036743164,0.0019411144,128,0.0445556640625,0.00025,0.2,0.410922696813941,,
69632,4.28,17,34,121.97,4019,0.1865774542093277,-0.0005340870120562613,-0.7607103362679482,0.57654869556427,0.015125176,132,0.1204833984375,0.00025,0.2,0.39603500440716743,,
71680,4.38,17,35,122.75,4023,0.19515198469161987,0.008701960468897596,-0.7561888173222542,0.5718184113502502,0.007153127,136,0.23828125,0.00025,0.2,0.39837202802300453,,
73728,4.4,18,36,123.99,4029,0.16129198670387268,-0.002906445908593014,-0.8065641224384308,0.6312174797058105,0.0028092861,140,0.03857421875,0.00025,0.2,0.3556427080184221,,
75776,4.44,18,37,123.24,4038,0.15634028613567352,-0.0016852664994075894,-0.7648196704685688,0.6211516857147217,0.02113097,144,0.1851806640625,0.00025,0.2,0.333504868671298,,
77824,4.48,19,38,122.79,4042,0.2134309858083725,0.003274788206908852,-0.772564958781004,0.5464385747909546,0.008224898,148,0.1610107421875,0.00025,0.2,0.3807025980204344,,
79872,4.35,19,39,121.11,4048,0.15035665035247803,-0.002569804957602173,-0.7493303380906582,0.5813438892364502,0.003017575,152,0.0294189453125,0.00025,0.2,0.33042557165026665,,
81920,4.26,20,40,121.13,4051,0.18836398422718048,-0.0013347658968996257,-0.7548134028911591,0.615894615650177,0.0025416692,156,0.043212890625,0.00025,0.2,0.3803953640162945,,
83968,4.09,20,41,118.04,4057,0.1261332631111145,-0.0004211437772028148,-0.7499149218201637,0.7141353487968445,0.0039442945,160,0.078125,0.00025,0.2,0.3219835553318262,,
86016,4.11,21,42,119.05,4059,0.17762258648872375,-0.0014386687544174492,-0.7362131550908089,0.6670490503311157,0.0041670506,164,0.030517578125,0.00025,0.2,0.3900071382522583,,
88064,4.14,21,43,119.63,4061,0.17963075637817383,-0.0009365216828882694,-0.771560151129961,0.6306399703025818,0.0030008142,168,0.0096435546875,0.00025,0.2,0.3827026728540659,,
90112,4.08,22,44,118.52,4062,0.15375983715057373,7.213998469524086e-05,-0.7482082173228264,0.6325685977935791,0.0042517213,172,0.0208740234375,0.00025,0.2,0.373131500557065,,
92160,4.28,22,45,120.68,4065,0.12991809844970703,-0.001747061003698036,-0.7413880936801434,0.6765438914299011,0.00944003,176,0.0777587890625,0.00025,0.2,0.30197964422404766,,
94208,4.25,23,46,119.68,4071,0.1664503514766693,-0.0030507651390507817,-0.7138195782899857,0.5848332643508911,0.0033134834,180,0.039794921875,0.00025,0.2,0.3848886452615261,,
96256,4.36,23,47,122.23,4074,0.17132870852947235,-0.0014425712288357317,-0.6994271129369736,0.5449665784835815,0.0030756434,184,0.024169921875,0.00025,0.2,0.3583969883620739,,
98304,4.58,24,48,125.37,4079,0.15255112946033478,-9.74921858869493e-05,-0.7133255936205387,0.550073504447937,0.0058425055,188,0.0445556640625,0.00025,0.2,0.3737764600664377,,
100000,,,,,,0.1586461216211319,-0.0027321527304593474,-0.7029639780521393,0.6708563566207886,0.005407401,192,0.0318603515625,0.00025,0.2,0.3513262365013361,169.1,6.9
100352,4.51,27,49,125.13,3647,,,,,,,,,,,,
102400,4.54,28,50,126.15,3652,0.16078297793865204,0.005130092817125842,-0.6864106580615044,0.7024004459381104,0.009445918,196,0.153076171875,0.00025,0.2,0.34523375891149044,,
104448,4.59,28,51,126.95,3659,0.15389634668827057,-0.001736692269332707,-0.6824376508593559,0.6382168531417847,0.004465455,200,0.09228515625,0.00025,0.2,0.3415660299360752,,
106496,4.61,29,52,128.83,3669,0.12923741340637207,-0.0033763365499908105,-0.6958084888756275,0.7059087753295898,0.0023057843,204,0.038330078125,0.00025,0.2,0.273872472345829,,
108544,4.67,29,53,127.97,3677,0.13981415331363678,-0.004125728213693947,-0.691537119448185,0.657041072845459,0.009182639,208,0.1099853515625,0.00025,0.2,0.32045228593051434,,
110592,4.53,29,54,125.58,3686,0.1589163988828659,-0.00043751171324402094,-0.7255515903234482,0.6645513772964478,0.0044451514,212,0.0267333984375,0.00025,0.2,0.32301695831120014,,
112640,4.64,30,55,125.05,3695,0.21080732345581055,-0.0018306566053070128,-0.6756214164197445,0.6078250408172607,0.006780733,216,0.087890625,0.00025,0.2,0.4040898308157921,,
114688,4.59,30,56,123.67,3701,0.14244215190410614,-0.0008941222040448338,-0.6932802088558674,0.6192370653152466,0.0075165005,220,0.085693359375,0.00025,0.2,0.33759508468210697,,
