time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
59392,313.12,37,1589,29,103.28,1785.6591796875,0.00025,0.042339205741882324,0.59033203125,0.2,-1.1438043639063835,112,0.059628177,0.04354460065951571,3965.3558959960938,,
61440,309.6,38,1589,30,102.4,1876.988525390625,0.00025,0.15835517644882202,0.129638671875,0.2,-1.036598015576601,116,0.010509921,0.002549394004745409,3986.2168731689453,,
63488,310.56,39,1590,31,102.64,1882.575927734375,0.00025,0.1254040002822876,0.13623046875,0.2,-1.068533219397068,120,0.012054284,0.0035467418492771685,3783.6365814208984,,
65536,308.96,41,1590,32,102.24,1658.1524658203125,0.00025,0.01986527442932129,0.056884765625,0.2,-1.0089318938553333,124,0.0061805383,0.0014377179613802582,3520.0626831054688,,
67584,309.28,42,1591,33,102.32,1590.543212890625,0.00025,0.19309937953948975,0.000244140625,0.2,-1.0892398282885551,128,0.00055197516,0.0009849827038124204,3489.0062255859375,,
69632,309.6,43,1592,34,102.4,1637.03076171875,0.00025,0.16538846492767334,0.0478515625,0.2,-1.091876283288002,132,0.004523215,0.001604734017746523,3197.4173736572266,,
71680,313.12,45,1592,35,103.28,1637.1317138671875,0.00025,0.1840749979019165,0.2943115234375,0.2,-1.0960691422224045,136,0.014907717,0.009701833012513816,3516.0557250976562,,
73728,309.92,46,1593,36,102.48,1777.5723876953125,0.00025,0.1579456925392151,0.1513671875,0.2,-1.020334992557764,140,0.01770762,0.00685944952419959,3445.287384033203,,
75776,317.92,47,1594,37,104.48,1784.7071533203125,0.00025,0.22761976718902588,0.1585693359375,0.2,-1.05325049161911,144,0.0060533904,-0.0014701390755362809,3209.776870727539,,
77824,322.72,48,1594,38,105.68,1468.65478515625,0.00025,0.254525363445282,0.085205078125,0.2,-1.091015376150608,148,0.008610536,0.0032264265173580498,3383.3849029541016,,
79872,317.92,50,1595,39,104.48,1401.7489013671875,0.00025,0.2698923945426941,0.1181640625,0.2,-1.080913670361042,152,0.004652474,0.0009686725097708404,3108.923126220703,,
81920,319.2,51,1596,40,104.8,1561.5516357421875,0.00025,0.2602570652961731,0.073974609375,0.2,-1.1509025692939758,156,0.0030967859,0.0036476446548476815,3357.245407104492,,
83968,323.04,52,1596,41,105.76,1795.7601318359375,0.00025,0.19551140069961548,0.1407470703125,0.2,-1.144215576350689,160,0.013100391,0.0014886397402733564,3725.938003540039,,
86016,316.0,53,1597,42,104.0,1742.5865478515625,0.00025,0.2301294207572937,0.20751953125,0.2,-1.0529611855745316,164,0.005875978,0.002837928885128349,3708.9956665039062,,
88064,312.8,55,1597,43,103.2,1411.703369140625,0.00025,0.29798978567123413,0.0858154296875,0.2,-1.0910004079341888,168,0.014148785,-0.0019242545095039532,2948.085006713867,,
90112,318.24,56,1598,44,104.56,1955.7459716796875,0.00025,0.15661662817001343,0.28173828125,0.2,-1.060001015663147,172,0.041558202,0.010427590197650716,3735.1300201416016,,
92160,315.36,57,1599,45,103.84,2008.28955078125,0.00025,0.25296294689178467,0.1651611328125,0.2,-1.0495061948895454,176,0.011269094,0.0033975379628827795,3519.6295623779297,,
94208,315.36,58,1599,46,103.84,1765.757568359375,0.00025,0.24575042724609375,0.069580078125,0.2,-0.9623627029359341,180,0.005198974,-0.0011901894467882812,3897.090591430664,,
96256,312.8,60,1600,47,103.2,1995.6148681640625,0.00025,0.20148628950119019,0.0626220703125,0.2,-0.951005008071661,184,0.011126159,0.0008118032128550112,4238.246505737305,,
98304,308.0,61,1601,48,102.0,1866.8184814453125,0.00025,0.16845136880874634,0.09716796875,0.2,-0.78139778226614,188,0.0021977532,-0.0008289818943012506,3616.9456787109375,,
100352,298.4,62,1601,49,99.6,1427.5679931640625,0.00025,0.15259689092636108,0.0714111328125,0.2,-0.714040968567133,192,0.0037767477,-0.0017055959906429052,3226.904327392578,,
102400,295.84,63,1602,50,98.96,1626.0347900390625,0.00025,0.14863544702529907,0.0635986328125,0.2,-0.7825446352362633,196,0.0037824817,-0.0005726393719669431,3474.214309692383,,
104448,296.8,65,1602,51,99.2,1460.8153076171875,0.00025,0.1661158800125122,0.0382080078125,0.2,-0.6515880450606346,200,0.00645757,-0.0018831776978913695,3110.800735473633,,
106496,295.52,66,1603,52,98.88,1480.1456298828125,0.00025,0.24303865432739258,0.0546875,0.2,-0.6392946541309357,204,0.004452166,0.0018660511123016477,2793.470916748047,,
108544,298.4,67,1603,53,99.6,1658.6187744140625,0.00025,0.20225518941879272,0.0882568359375,0.2,-0.572844959795475,208,0.020968255,0.0036889537004753947,3342.6393127441406,,
110592,299.04,68,1604,54,99.76,2092.0498046875,0.00025,0.1354932188987732,0.0120849609375,0.2,-0.45872054249048233,212,0.0022359942,-0.00048678991151973605,4207.403289794922,,
112640,295.84,70,1605,55,98.96,1465.7945556640625,0.00025,0.20793718099594116,0.0126953125,0.2,-0.5294317808002234,216,0.00051557994,0.0004759542644023895,2943.0442810058594,,
114688,293.92,71,1605,56,98.48,1864.7244873046875,0.00025,0.19441980123519897,0.0281982421875,0.2,-0.49594895727932453,220,0.005761777,0.000142391596455127,3305.5379333496094,,
116736,300.96,72,1606,57,100.24,1765.5848388671875,0.00025,0.1433619260787964,0.07666015625,0.2,-0.5210383255034685,224,0.018865667,0.004210971586871892,3507.898712158203,,
118784,300.0,73,1606,58,100.0,1576.3177490234375,0.00025,0.3029230833053589,0.09619140625,0.2,-0.5777024030685425,228,0.030977175,0.006639321829425171,3258.278778076172,,
120832,295.84,75,1607,59,98.96,2372.995849609375,0.00025,0.20002883672714233,0.015380859375,0.2,-0.2599107604473829,232,0.0009252217,0.0001776213466655463,3879.1836547851562,,
122880,299.68,76,1608,60,99.92,2089.724365234375,0.00025,0.21825695037841797,0.027587890625,0.2,-0.29395716823637486,236,0.0017464635,0.0007996480853762478,4102.797927856445,,
124928,298.72,77,1608,61,99.68,1922.2265625,0.00025,0.20671778917312622,0.0255126953125,0.2,-0.35604991763830185,240,0.005894912,0.001444436056772247,4290.916122436523,,
126976,293.6,78,1609,62,98.4,1807.4697265625,0.00025,0.17247003316879272,0.018310546875,0.2,-0.3937012292444706,244,0.0026529252,-7.989117875695229e-05,3359.107147216797,,
129024,297.12,80,1609,63,99.28,1762.8697509765625,0.00025,0.19145989418029785,0.01123046875,0.2,-0.4211069419980049,248,0.001241881,0.00032717647263780236,3493.303451538086,,
131072,302.56,81,1610,64,100.64,1656.6927490234375,0.00025,0.19719725847244263,0.0057373046875,0.2,-0.4215727988630533,252,0.001131701,-0.0009062130702659488,3566.826889038086,,
133120,304.48,82,1611,65,101.12,1434.1407470703125,0.00025,0.2573748230934143,0.0291748046875,0.2,-0.33423479087650776,256,0.0036404175,-0.002025164954829961,3052.983673095703,,
135168,305.44,83,1611,66,101.36,1257.6131591796875,0.00025,0.19621306657791138,0.012939453125,0.2,-0.31790877878665924,260,0.002058927,-0.0008966383174993098,3249.7787170410156,,
137216,304.48,85,1612,67,101.12,2312.3193359375,0.00025,0.18827378749847412,0.02490234375,0.2,-0.37298582307994366,264,0.0017154223,0.0011370893334969878,4653.589874267578,,
139264,306.72,86,1613,68,101.68,1845.17626953125,0.00025,0.21079260110855103,0.01806640625,0.2,-0.4220618475228548,268,0.0011900752,0.0004240983398631215,3792.100051879883,,
141312,301.92,87,1613,69,100.48,1292.9339599609375,0.00025,0.25287818908691406,0.0347900390625,0.2,-0.5020480118691921,272,0.005693281,0.00138416193658486,2771.344207763672,,
143360,301.28,88,1614,70,100.32,2258.143798828125,0.00025,0.3249966502189636,0.021240234375,0.2,-0.5241649262607098,276,0.0037974766,0.00032373989233747125,3517.4312591552734,,
145408,306.08,90,1615,71,101.52,2721.217529296875,0.00025,0.2003462314605713,0.041259765625,0.2,-0.5104025062173605,280,0.0054266835,0.000536510837264359,4864.126617431641,,
147456,307.04,91,1615,72,101.76,1248.943603515625,0.00025,0.23910987377166748,0.07958984375,0.2,-0.5749766975641251,284,0.008083256,-0.00130529172020033,2878.8768768310547,,
149504,305.44,92,1616,73,101.36,1643.357421875,0.00025,0.17642170190811157,0.0633544921875,0.2,-0.6914005763828754,288,0.0017476511,-0.00013401583419181406,3662.871612548828,,
150000,,,,,,1533.8856201171875,0.00025,0.21375077962875366,0.046630859375,0.2,-0.6212920770049095,292,0.0130265495,0.0006708535947836936,3323.9220428466797,284.0,96.0
151552,310.88,93,1619,74,102.72,,,,,,,,,,,,
153600,315.68,94,1619,75,103.92,1545.6763916015625,0.00025,0.14866787195205688,0.0604248046875,0.2,-0.5986709669232368,296,0.016211169,0.0033554533147253096,3346.700454711914,,
155648,314.72,96,1620,76,103.68,1646.93408203125,0.00025,0.21103394031524658,0.05029296875,0.2,-0.8346890173852444,300,0.002658301,-5.049572791904211e-06,3612.6902770996094,,
157696,316.32,97,1621,77,104.08,1321.988525390625,0.00025,0.3215532898902893,0.084716796875,0.2,-0.8131281957030296,304,0.0036688712,0.0013707581674680114,2837.881851196289,,
159744,323.68,98,1622,78,105.92,1847.8089599609375,0.00025,0.29081225395202637,0.083984375,0.2,-0.7848364822566509,308,0.0028209952,0.001964381634024903,3381.1934814453125,,
161792,331.04,99,1622,79,107.76,1673.959228515625,0.00025,0.2789038419723511,0.0699462890625,0.2,-0.7657881267368793,312,0.006653211,-0.0003996157320216298,3625.4042053222656,,
163840,329.44,100,1623,80,107.36,1968.0999755859375,0.00025,0.3359517455101013,0.0635986328125,0.2,-0.7281361259520054,316,0.010968211,0.0014315099106170237,3656.791763305664,,
165888,328.48,102,1623,81,107.12,1454.7060546875,0.00025,0.340175986289978,0.067626953125,0.2,-0.7740786671638489,320,0.014205172,-2.1845335140824318e-05,3465.9717864990234,,
167936,324.64,103,1624,82,106.16,1437.181884765625,0.00025,0.359840989112854,0.0155029296875,0.2,-0.6588438600301743,324,0.003800693,0.00034184486139565706,3114.052536010742,,
169984,316.0,104,1625,83,104.0,1699.614013671875,0.00025,0.23760145902633667,0.0697021484375,0.2,-0.5094157606363297,328,0.01223512,0.0003602291108109057,3634.79345703125,,
172032,305.12,105,1625,84,101.28,1949.8236083984375,0.00025,0.20438092947006226,0.0340576171875,0.2,-0.6005025617778301,332,0.0021762552,0.000707494662492536,4203.432037353516,,
174080,294.24,107,1626,85,98.56,1988.294189453125,0.00025,0.15407085418701172,0.0626220703125,0.2,-0.4630733150988817,336,0.0026291725,0.0005759180057793856,4206.994186401367,,
176128,290.72,108,1627,86,97.68,1551.5638427734375,0.00025,0.22640472650527954,0.0115966796875,0.2,-0.43746724911034107,340,0.001945954,0.0004864005313720554,3367.176986694336,,
178176,291.04,109,1627,87,97.76,1590.4903564453125,0.00025,0.18843871355056763,0.0018310546875,0.2,-0.58420505002141,344,0.00066840416,0.00015816092491149902,3069.5423278808594,,
180224,293.28,110,1628,88,98.32,1392.556396484375,0.00025,0.2775267958641052,0.042724609375,0.2,-0.5781882219016552,348,0.006275965,0.001502001250628382,2659.470718383789,,
182272,294.24,111,1628,89,98.56,1240.267822265625,0.00025,0.27747243642807007,0.079833984375,0.2,-0.6756781376898289,352,0.0071686143,0.0016123201639857143,2474.79638671875,,
184320,297.12,113,1629,90,99.28,1507.1878662109375,0.00025,0.337482213973999,0.02685546875,0.2,-0.7231379747390747,356,0.002220229,0.001735533878672868,2854.301025390625,,
186368,308.32,51,3607,91,102.08,1459.48876953125,0.00025,0.3565000891685486,0.0421142578125,0.2,-0.6079752892255783,360,0.003726055,-3.152410499751568e-05,3015.3775787353516,,
188416,312.48,52,3608,92,103.12,1831.15625,0.00025,0.23512643575668335,0.083740234375,0.2,-0.5865095090121031,364,0.0039047748,0.005616291717160493,3433.6939544677734,,
190464,310.24,52,3608,93,102.56,1185.1597900390625,0.00025,0.4118916988372803,0.0474853515625,0.2,-0.5410463809967041,368,0.0023406511,-0.0005063076096121222,2824.2915649414062,,
192512,308.64,53,3609,94,102.16,2035.648681640625,0.00025,0.288100004196167,0.0189208984375,0.2,-0.4974988494068384,372,0.0021368815,0.0008152273076120764,3990.0240936279297,,
194560,308.64,53,3610,95,102.16,1770.5225830078125,0.00025,0.20938563346862793,0.0137939453125,0.2,-0.43471740186214447,376,0.0021701013,0.00033659767359495163,4038.035430908203,,
196608,299.68,54,3610,96,99.92,2302.104736328125,0.00025,0.19987571239471436,0.0128173828125,0.2,-0.3605559170246124,380,0.001568606,-0.00016976647020783275,4246.90446472168,,
198656,294.56,55,3611,97,98.64,2271.012939453125,0.00025,0.1900414228439331,0.0250244140625,0.2,-0.35682959109544754,384,0.010641644,0.0005297668103594333,4656.321563720703,,
200704,298.08,55,3612,98,99.52,1862.470947265625,0.00025,0.2159961462020874,0.0462646484375,0.2,-0.37719515711069107,388,0.002941733,0.0008160591823980212,3896.3778381347656,,
202752,296.16,56,3612,99,99.04,1960.7802734375,0.00025,0.260164737701416,0.048583984375,0.2,-0.4893658645451069,392,0.00067163433,0.0011829497525468469,3694.2088775634766,,
204800,295.52,56,3613,100,98.88,1896.60009765625,0.00025,0.23286956548690796,0.0322265625,0.2,-0.3514825850725174,396,0.0017173395,-0.0006370414921548218,3648.380889892578,,
206848,298.4,57,3614,101,99.6,1509.06787109375,0.00025,0.2902148365974426,0.028564453125,0.2,-0.4705596901476383,400,0.003423266,-0.0005836774653289467,3110.1004791259766,,
208896,299.68,57,3614,102,99.92,1469.2008056640625,0.00025,0.2854169011116028,0.038330078125,0.2,-0.4371886756271124,404,0.0039477595,-0.0020409710705280304,3278.7206115722656,,
210944,295.84,58,3615,103,98.96,1601.6187744140625,0.00025,0.30092912912368774,0.0738525390625,0.2,-0.5012098737061024,408,0.009671895,0.006865859555546194,2913.745834350586,,
212992,297.76,58,3616,104,99.44,1307.0633544921875,0.00025,0.2991759777069092,0.047119140625,0.2,-0.17207156820222735,412,0.026286064,0.003793115320149809,2968.380584716797,,
215040,294.88,59,3616,105,98.72,1815.49658203125,0.00025,0.243927001953125,0.006591796875,0.2,-0.09737070463597775,416,0.0010241352,0.0005710026598535478,3794.2477264404297,,
217088,291.04,60,3617,106,97.76,1617.14794921875,0.00025,0.2688145041465759,0.0074462890625,0.2,-0.07419932191260159,420,0.0003758881,9.734605555422604e-05,3160.6709899902344,,
219136,289.44,60,3618,107,97.36,1680.976318359375,0.00025,0.21652406454086304,0.0018310546875,0.2,-0.06028391653671861,424,0.00038116644,-2.865289570763707e-05,3106.556915283203,,
221184,289.44,61,3618,108,97.36,1581.8857421875,0.00025,0.2563604712486267,0.0030517578125,0.2,-0.068671208107844,428,0.00044873092,-0.00019726375467143953,3186.984649658203,,
223232,288.16,61,3619,109,97.04,1820.7001953125,0.00025,0.2274090051651001,0.0023193359375,0.2,-0.051263706060126424,432,2.5830523e-05,-1.8435210222378373e-05,3622.564163208008,,
225280,287.2,62,3619,110,96.8,1637.5045166015625,0.00025,0.23713350296020508,0.0032958984375,0.2,-0.05947202327661216,436,0.00013788632,-0.0003333987551741302,3293.8597106933594,,
227328,287.84,62,3620,111,96.96,1651.77099609375,0.00025,0.29817891120910645,0.0040283203125,0.2,-0.07337425323203206,440,0.00032353256,-0.00038389008841477334,3235.2962036132812,,
229376,286.88,63,3621,112,96.72,1504.160400390625,0.00025,0.24220699071884155,0.0107421875,0.2,-0.06945404433645308,444,0.00068949757,0.00023442122619599104,3645.5387268066406,,
231424,286.88,63,3621,113,96.72,2233.155029296875,0.00025,0.25006747245788574,0.001708984375,0.2,-0.06238250760361552,448,0.0004521589,1.2848482583649457e-05,3503.7652740478516,,
233472,288.16,64,3622,114,97.04,2517.40283203125,0.00025,0.26813167333602905,0.00244140625,0.2,-0.056984803872182965,452,0.0017050643,0.0005259593890514225,4247.408172607422,,
235520,290.08,65,3622,115,97.52,1423.1683349609375,0.00025,0.28694361448287964,0.0064697265625,0.2,-0.07009813375771046,456,0.0011162689,-5.5711716413497925e-05,3093.965133666992,,
237568,289.12,65,3623,116,97.28,1484.5440673828125,0.00025,0.2740963101387024,0.0032958984375,0.2,-0.05017244606278837,460,3.855134e-05,0.00045614628470502794,3104.789260864258,,
239616,291.04,66,3624,117,97.76,1962.3232421875,0.00025,0.27384883165359497,0.0025634765625,0.2,-0.06152793182991445,464,0.00011152748,1.2968434020876884e-05,3620.5133514404297,,
241664,290.08,66,3624,118,97.52,1521.028076171875,0.00025,0.278617262840271,0.001220703125,0.2,-0.07167624589055777,468,0.00016586913,-0.00042185510392300785,3119.3052520751953,,
243712,289.76,67,3625,119,97.44,1419.63916015625,0.00025,0.2725638747215271,0.0072021484375,0.2,-0.06131975818425417,472,0.0005463442,-0.0009021666774060577,2778.6254272460938,,
245760,287.84,67,3625,120,96.96,1704.7926025390625,0.00025,0.3098834753036499,0.001953125,0.2,-0.0472527202218771,476,0.00026665942,-8.349015843123198e-05,3247.7803955078125,,
247808,288.8,68,3626,121,97.2,1589.4432373046875,0.00025,0.31270354986190796,0.00146484375,0.2,-0.06064257747493684,480,4.3353444e-05,2.4572189431637526e-05,3464.4544830322266,,
249856,285.92,68,3627,122,96.48,1320.6624755859375,0.00025,0.25571995973587036,0.0042724609375,0.2,-0.06877717725001276,484,0.000263254,-1.580783282406628e-05,2631.009719848633,,
251904,284.96,69,3627,123,96.24,1556.701416015625,0.00025,0.2693917155265808,0.0006103515625,0.2,-0.0493308340664953,488,1.6134378e-05,-0.0003080772003158927,3290.017333984375,,
253952,285.92,69,3628,124,96.48,1539.6336669921875,0.00025,0.3211361765861511,0.002685546875,0.2,-0.056283196434378624,492,0.00021016196,0.00025645893765613437,3162.5162963867188,,
256000,285.92,70,3628,125,96.48,1339.609130859375,0.00025,0.31622207164764404,0.00830078125,0.2,-0.03412898478563875,496,0.002613218,-0.0011088824539911002,2900.028289794922,,
258048,285.92,71,3629,126,96.48,1732.45947265625,0.00025,0.2940492630004883,0.0008544921875,0.2,-0.02678402839228511,500,9.244768e-05,-0.00022178309154696763,3140.6014709472656,,
260096,285.92,71,3630,127,96.48,1672.35791015625,0.00025,0.31257039308547974,0.0028076171875,0.2,-0.023358881357125938,504,0.00070345635,-0.00010712914809118956,3337.165573120117,,
262144,285.92,72,3630,128,96.48,1255.35693359375,0.00025,0.34812670946121216,0.0010986328125,0.2,-0.024604732519946992,508,6.224227e-05,8.931334014050663e-05,2480.6739196777344,,
264192,284.96,72,3631,129,96.24,1027.3709716796875,0.00025,0.3847545385360718,0.001708984375,0.2,-0.02694519399665296,512,0.00019506537,-0.0005266931548248976,2364.818130493164,,
266240,284.96,73,3631,130,96.24,1274.20703125,0.00025,0.4106476902961731,0.001708984375,0.2,-0.01822957000695169,516,0.000351335,-7.56734807509929e-05,2533.268829345703,,
268288,284.0,73,3632,131,96.0,1342.632568359375,0.00025,0.3747418522834778,0.000244140625,0.2,-0.01022913254564628,520,2.8556213e-05,-3.802202991209924e-05,2823.445556640625,,
270336,284.0,74,3633,132,96.0,1935.349853515625,0.00025,0.3696076273918152,0.0003662109375,0.2,-0.008154106326401234,524,5.1426498e-05,0.00016764565953053534,3327.663360595703,,
