time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/n_updates,train/clip_fraction,train/entropy_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,rollout/ep_rew_mean,train/value_loss,eval/mean_ep_length,eval/mean_reward
88064,942,43,93,907.16,0.0016815232,168,0.014892578125,-1.7288862243294716,0.1,0.00025,-0.0012251604639459401,0.9348167181015015,0.1363917887210846,-20.6,0.28987811133265495,,
90112,942,44,95,909.51,0.0002652802,172,0.0,-1.715963825583458,0.1,0.00025,3.0606723157688975e-05,0.9262176156044006,0.2741605341434479,-20.58,0.4127873368561268,,
92160,943,45,97,912.73,0.0037367172,176,0.067626953125,-1.7107949778437614,0.1,0.00025,-0.0018773557094391435,0.9360440969467163,0.09639032930135727,-20.58,0.28765512723475695,,
94208,943,46,99,914.9,0.0013234986,180,0.00732421875,-1.7216509655117989,0.1,0.00025,0.0005389207217376679,0.9370623230934143,0.22521106898784637,-20.61,0.3548443289473653,,
96256,943,47,101,909.38,0.0014022132,184,0.0142822265625,-1.7151960730552673,0.1,0.00025,-0.0005933147622272372,0.9541206359863281,0.13184939324855804,-20.62,0.26109296176582575,,
98304,944,48,104,914.03,0.00078020245,188,0.000732421875,-1.708153486251831,0.1,0.00025,-0.0010413913696538657,0.9431852102279663,0.10710757970809937,-20.58,0.2592728454619646,,
100352,944,49,106,912.88,0.0021579645,192,0.0501708984375,-1.685602143406868,0.1,0.00025,-0.0014241310709621757,0.954622209072113,0.12103426456451416,-20.59,0.22680428717285395,,
102400,944,50,108,911.86,0.002033594,196,0.0335693359375,-1.696968398988247,0.1,0.00025,-0.0007221859414130449,0.9550853967666626,0.07168100029230118,-20.62,0.20013720076531172,,
104448,944,51,110,909.69,0.00065215817,200,0.0113525390625,-1.6823638305068016,0.1,0.00025,-1.1414900654926896e-05,0.9511600732803345,0.09478864073753357,-20.66,0.28087877202779055,,
106496,945,52,112,908.61,0.0009886649,204,0.01318359375,-1.6767402738332748,0.1,0.00025,-0.0001482020306866616,0.9518096446990967,0.07465154677629471,-20.66,0.2078623715788126,,
108544,945,53,114,907.76,0.0010898246,208,0.001953125,-1.6592762172222137,0.1,0.00025,0.0001633299107197672,0.937796413898468,0.10044610500335693,-20.71,0.23344554379582405,,
110592,945,54,116,914.32,0.0025819205,212,0.0675048828125,-1.6467960700392723,0.1,0.00025,-0.001735691650537774,0.950407862663269,0.10588524490594864,-20.68,0.26124729309231043,,
