time/episodes,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
332,1020,70931,69,0.9297783099999999,878.21,-20.69,,,,,
336,1020,71835,70,0.9288833499999999,876.85,-20.72,,,,,
340,1020,72682,71,0.9280448200000001,875.54,-20.73,,,,,
344,1020,73571,72,0.92716471,875.81,-20.74,,,,,
348,1020,74424,72,0.9263202399999999,875.17,-20.75,,,,,
352,1020,75304,73,0.92544904,876.74,-20.76,,,,,
356,1020,76235,74,0.92452735,881.03,-20.74,,,,,
360,1020,77073,75,0.92369773,880.81,-20.74,,,,,
364,1020,77982,76,0.92279782,880.46,-20.78,,,,,
368,1020,78859,77,0.92192959,880.88,-20.77,,,,,
372,1020,79687,78,0.92110987,879.94,-20.78,,,,,
376,1020,80531,78,0.9202743100000002,880.56,-20.77,,,,,
380,1020,81347,79,0.9194664699999999,878.78,-20.76,,,,,
384,1020,82226,80,0.91859626,878.4,-20.77,,,,,
388,1021,83058,81,0.91777258,878.17,-20.75,,,,,
392,1021,83907,82,0.9169320700000001,877.39,-20.77,,,,,
396,1020,84736,82,0.91611136,876.86,-20.78,,,,,
400,1020,85551,83,0.9153045100000001,875.75,-20.76,,,,,
404,1020,86327,84,0.9145362699999999,869.0,-20.76,,,,,
408,1020,87205,85,0.91366705,870.15,-20.76,,,,,
412,1020,88112,86,0.91276912,870.26,-20.77,,,,,
416,1020,89034,87,0.9118563399999999,875.62,-20.76,,,,,
420,1020,89929,88,0.9109702900000001,878.81,-20.74,,,,,
424,1020,90761,88,0.91014661,879.13,-20.72,,,,,
428,1020,91603,89,0.9093130299999999,882.35,-20.72,,,,,
432,1020,92460,90,0.9084646000000001,883.7,-20.71,,,,,
436,1020,93253,91,0.90767953,879.23,-20.72,,,,,
440,1020,94102,92,0.90683902,879.28,-20.72,,,,,
444,1020,94977,93,0.9059727699999999,878.58,-20.74,,,,,
448,1020,95803,93,0.90515503,877.64,-20.75,,,,,
452,1020,96739,94,0.9042283900000001,879.77,-20.71,,,,,
456,1020,97652,95,0.90332452,879.2,-20.71,,,,,
460,1020,98479,96,0.90250579,878.56,-20.7,,,,,
464,1020,99304,97,0.9016890399999999,875.0,-20.7,,,,,
,,100000,,0.90100099,,,764.0,-21.0,,,
468,968,100196,103,0.90080596,875.66,-20.7,,,0.0001,48,0.06910485029220581
472,965,101078,104,0.89993278,877.85,-20.69,,,0.0001,269,0.0221911258995533
476,961,101984,106,0.8990358399999999,880.33,-20.67,,,0.0001,495,0.05492290109395981
480,957,102852,107,0.89817652,882.36,-20.67,,,0.0001,712,0.028306227177381516
484,954,103685,108,0.89735185,880.73,-20.67,,,0.0001,921,0.029897961765527725
488,950,104595,110,0.89645095,883.58,-20.66,,,0.0001,1148,0.029728157445788383
492,947,105495,111,0.8955599500000001,885.87,-20.65,,,0.0001,1373,0.05569839850068092
496,944,106295,112,0.89476795,884.91,-20.67,,,0.0001,1573,0.029669586569070816
500,940,107190,113,0.8938819000000001,887.86,-20.66,,,0.0001,1797,0.038372576236724854
504,937,108037,115,0.89304337,891.25,-20.66,,,0.0001,2009,0.017882492393255234
508,934,108866,116,0.8922226600000001,889.62,-20.67,,,0.0001,2216,0.010047481395304203
512,931,109711,117,0.8913861100000001,887.58,-20.67,,,0.0001,2427,0.03520781174302101
516,928,110597,119,0.89050897,885.65,-20.67,,,0.0001,2649,0.009917120449244976
520,925,111425,120,0.8896892499999999,882.66,-20.68,,,0.0001,2856,0.04410601779818535
524,923,112241,121,0.88888141,881.93,-20.7,,,0.0001,3060,0.01696982979774475
528,920,113094,122,0.88803694,882.0,-20.68,,,0.0001,3273,0.0061594219878315926
532,918,114001,124,0.88713901,884.19,-20.68,,,0.0001,3500,0.01370705384761095
536,915,114803,125,0.88634503,884.77,-20.68,,,0.0001,3700,0.002669940236955881
540,912,115634,126,0.88552234,884.1,-20.65,,,0.0001,3908,0.010290129110217094
544,910,116569,128,0.8845966900000001,886.22,-20.63,,,0.0001,4142,0.014402864500880241
548,907,117429,129,0.88374529,887.51,-20.64,,,0.0001,4357,0.02315203659236431
552,905,118309,130,0.8828740900000001,885.24,-20.66,,,0.0001,4577,0.02011467143893242
556,902,119169,132,0.8820226899999999,883.15,-20.66,,,0.0001,4792,0.004129364620894194
560,900,119956,133,0.88124356,881.69,-20.67,,,0.0001,4988,0.004173271358013153
564,898,120821,134,0.88038721,883.22,-20.68,,,0.0001,5205,0.009821901097893715
568,896,121683,135,0.87953383,882.15,-20.66,,,0.0001,5420,0.007145574316382408
572,893,122567,137,0.8786586699999999,881.81,-20.66,,,0.0001,5641,0.01042153686285019
576,891,123394,138,0.87783994,878.96,-20.68,,,0.0001,5848,0.007985296659171581
580,889,124275,139,0.87696775,879.73,-20.67,,,0.0001,6068,0.003226327942684293
584,887,125181,141,0.87607081,882.67,-20.66,,,0.0001,6295,0.020119305700063705
588,885,125972,142,0.87528772,878.24,-20.69,,,0.0001,6492,0.0038592503406107426
592,883,126838,143,0.87443038,877.16,-20.68,,,0.0001,6709,0.029595084488391876
596,881,127683,144,0.87359383,878.52,-20.67,,,0.0001,6920,0.004757565446197987
600,878,128536,146,0.87274936,876.8,-20.69,,,0.0001,7133,0.02879951149225235
604,876,129374,147,0.87191974,875.99,-20.67,,,0.0001,7343,0.004957832861691713
608,874,130243,148,0.8710594299999999,877.09,-20.66,,,0.0001,7560,0.009107297286391258
612,873,131107,150,0.8702040699999999,877.69,-20.67,,,0.0001,7776,0.004121316596865654
616,871,132060,151,0.8692605999999999,880.15,-20.65,,,0.0001,8014,0.03234235942363739
620,869,132904,152,0.8684250400000001,880.96,-20.66,,,0.0001,8225,0.025377314537763596
624,867,133734,154,0.86760334,881.48,-20.66,,,0.0001,8433,0.016691502183675766
628,865,134658,155,0.86668858,884.33,-20.63,,,0.0001,8664,0.0077431355603039265
632,864,135471,156,0.8658837100000001,880.51,-20.64,,,0.0001,8867,0.010852670297026634
636,862,136336,158,0.86502736,882.79,-20.63,,,0.0001,9083,0.030894344672560692
640,860,137121,159,0.86425021,880.76,-20.66,,,0.0001,9280,0.006177234463393688
644,858,138046,160,0.8633344599999999,880.5,-20.65,,,0.0001,9511,0.061060287058353424
648,857,138902,162,0.8624870199999999,880.56,-20.64,,,0.0001,9725,0.010505538433790207
652,855,139752,163,0.8616455199999999,879.11,-20.63,,,0.0001,9937,0.02555917389690876
656,853,140652,164,0.86075452,880.84,-20.64,,,0.0001,10162,0.03731749206781387
660,852,141490,165,0.8599248999999999,883.08,-20.65,,,0.0001,10372,0.02277565561234951
664,850,142382,167,0.85904182,884.26,-20.64,,,0.0001,10595,0.007316263392567635
668,849,143263,168,0.8581696300000001,884.83,-20.66,,,0.0001,10815,0.008266904391348362
672,847,144093,169,0.85734793,882.91,-20.66,,,0.0001,11023,0.005281006917357445
676,846,144962,171,0.85648762,884.63,-20.66,,,0.0001,11240,0.03563493490219116
680,844,145871,172,0.8555877099999999,885.57,-20.65,,,0.0001,11467,0.019053803756833076
684,842,146853,174,0.8546155299999999,888.5,-20.63,,,0.0001,11713,0.016093784943223
688,841,147687,175,0.8537898700000001,889.98,-20.63,,,0.0001,11921,0.013594376854598522
692,840,148532,176,0.8529533200000001,889.0,-20.63,,,0.0001,12132,0.006739260163158178
696,838,149403,178,0.8520910300000001,890.37,-20.62,,,0.0001,12350,0.017143305391073227
700,837,150262,179,0.8512406199999999,891.04,-20.61,,,0.0001,12565,0.05352127552032471
704,835,151118,180,0.85039318,891.85,-20.62,,,0.0001,12779,0.0032435860484838486
708,834,151966,182,0.84955366,890.96,-20.62,,,0.0001,12991,0.048316046595573425
712,833,152802,183,0.8487260200000001,889.63,-20.61,,,0.0001,13200,0.01681642420589924
716,832,153689,184,0.84784789,887.26,-20.63,,,0.0001,13422,0.0044234213419258595
720,830,154559,186,0.8469865900000001,888.43,-20.62,,,0.0001,13639,0.02420591190457344
724,829,155382,187,0.8461718200000001,888.49,-20.62,,,0.0001,13845,0.00654992088675499
728,828,156201,188,0.84536101,884.53,-20.66,,,0.0001,14050,0.008674257434904575
732,827,157069,189,0.8445016900000001,886.76,-20.66,,,0.0001,14267,0.004176498856395483
736,825,157870,191,0.8437087000000001,884.61,-20.65,,,0.0001,14467,0.00933409295976162
740,824,158744,192,0.84284344,888.1,-20.65,,,0.0001,14685,0.00833367183804512
