rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
76.73684210526316,2187,1,-0.05263157894736842,2048,0,,,,,,,,,,,,
75.70454545454545,2516,2,0.0,4096,1,0.2,-0.006077647994970903,-0.02351057529449463,-1.3818533644080162,0.009753113,0.5066149281337857,0.05437721684575081,4,0.00025,0.0162353515625,,
76.43243243243244,2975,3,0.013513513513513514,6144,2,0.2,-0.0008548264449927956,0.26827090978622437,-1.3673069775104523,0.0022241324,0.14892370020970702,0.05151473730802536,8,0.00025,0.0,,
77.88541666666667,3304,4,0.09375,8192,2,0.2,-0.0014378143823705614,0.5140279531478882,-1.3617598190903664,0.003550659,0.1294991853646934,0.04308734089136124,12,0.00025,0.0,,
80.39,3543,5,0.25,10240,2,0.2,-0.0027807090955320746,0.4585893750190735,-1.3328207284212112,0.0074625807,0.17538428120315075,0.07421652227640152,16,0.00025,0.0787353515625,,
87.28,3711,6,0.59,12288,3,0.2,-0.006013110687490553,0.5198092460632324,-1.3142810836434364,0.01414404,0.14510792959481478,0.04730871319770813,20,0.00025,0.065673828125,,
91.89,3855,7,0.98,14336,3,0.2,-0.0007203271379694343,0.5163341760635376,-1.2734607681632042,0.014754009,0.200534594245255,0.09444133192300797,24,0.00025,0.0677490234375,,
98.02,3978,8,1.44,16384,4,0.2,-0.002149749081581831,0.3159101605415344,-1.2064901068806648,0.00933928,0.27973464503884315,0.12780044972896576,28,0.00025,0.0540771484375,,
103.29,4082,9,1.87,18432,4,0.2,4.9041962483897805e-05,0.4127131700515747,-1.1835275068879128,0.0021587773,0.31961327232420444,0.18237647414207458,32,0.00025,0.0,,
106.22,4169,10,2.17,20480,4,0.2,-0.0020950399921275675,0.5388708114624023,-1.124153845012188,0.007352539,0.33764708787202835,0.1417894810438156,36,0.00025,0.010498046875,,
108.45,4234,11,2.54,22528,5,0.2,0.000593898817896843,0.51590895652771,-1.1600820049643517,0.0019138509,0.34822608530521393,0.16265714168548584,40,0.00025,0.03271484375,,
108.1,4283,12,2.58,24576,5,0.2,-0.00027004757430404425,0.5246476531028748,-1.127513237297535,0.0013802396,0.3777236472815275,0.16063565015792847,44,0.00025,0.0,,
107.32,4328,13,2.56,26624,6,0.2,-0.0007183327397797257,0.4630705714225769,-1.106664814054966,0.008627698,0.31929073855280876,0.14769957959651947,48,0.00025,0.035888671875,,
