time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/clip_range,train/loss,eval/mean_reward,eval/mean_ep_length
885,26624,13,30,48,0.0914306640625,-1.749388076364994,0.00024912228571428573,0.1197824478149414,1.465667862445116,-0.0013830492680426687,-20.56,892.38,0.003117016,0.09964891428571429,0.6102258563041687,,
887,28672,14,32,52,0.1441650390625,-1.739680215716362,0.0002490491428571429,0.23680031299591064,0.7196907363831997,-0.000121080651297234,-20.58,899.98,0.0016094273,0.09961965714285714,0.3391202390193939,,
890,30720,15,34,56,0.243896484375,-1.7329649738967419,0.000248976,0.4263206124305725,1.1753824278712273,-0.0008246395300375298,-20.63,895.72,0.0018970424,0.09959040000000001,0.45878735184669495,,
891,32768,16,36,60,0.0841064453125,-1.736328598111868,0.00024890285714285714,0.5924330949783325,0.5692856255918741,-0.0011078191455453634,-20.59,896.59,0.001535397,0.09956114285714286,0.3968749940395355,,
893,34816,17,38,64,0.1087646484375,-1.710736844688654,0.0002488297142857143,0.7421748638153076,0.6319458186626434,-0.0006562956259585917,-20.62,893.79,0.0010199422,0.09953188571428573,0.22165930271148682,,
894,36864,18,41,68,0.0726318359375,-1.7105525061488152,0.00024875657142857144,0.7576886415481567,0.7561597544699907,-0.0016222218837356195,-20.65,892.84,0.0033605602,0.09950262857142858,0.2739548087120056,,
896,38912,19,43,72,0.2294921875,-1.676539484411478,0.0002486834285714286,0.8215729594230652,0.654724826104939,-1.5811383491382003e-05,-20.67,888.59,0.0017300975,0.09947337142857143,0.24803614616394043,,
898,40960,20,45,76,0.0260009765625,-1.689455933868885,0.00024861028571428575,0.8150779008865356,0.5991222430020571,-0.000762957839469891,-20.66,890.58,0.0018784493,0.0994441142857143,0.26927709579467773,,
898,43008,21,47,80,0.0517578125,-1.7073514051735401,0.00024853714285714285,0.837898850440979,0.5592579375952482,-0.0008577963671996258,-20.64,892.11,0.0005315251,0.09941485714285714,0.2333585023880005,,
899,45056,22,50,84,0.14794921875,-1.6875257305800915,0.000248464,0.8624110817909241,0.6137818861752748,-0.0009137285815086216,-20.64,890.13,0.0029209936,0.0993856,0.29288703203201294,,
