time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
1844,112.48,53248,349.92,28,26,0.1270751953125,0.33465081453323364,1389.4486083984375,100,-0.9921405389904976,0.0040839226567186415,2885.526809692383,0.2,0.00025,0.016568184,,
1845,111.68,55296,346.72,29,27,0.2103271484375,0.3141361474990845,1430.5994873046875,104,-0.948841754347086,-0.001724909758195281,2972.9424743652344,0.2,0.00025,0.024651647,,
1845,110.64,57344,342.56,31,28,0.1060791015625,0.34181803464889526,1482.3040771484375,108,-0.906641036272049,0.004527544777374715,3505.850311279297,0.2,0.00025,0.006949667,,
1846,107.52,59392,330.08,32,29,0.0838623046875,0.1310555338859558,2193.002197265625,112,-0.8712293617427349,6.770703475922346e-05,4415.428451538086,0.2,0.00025,0.012148937,,
1847,105.12,61440,320.48,33,30,0.078369140625,0.1461302638053894,2060.29931640625,116,-0.8499337993562222,0.0019318001286592335,3854.7301330566406,0.2,0.00025,0.0062747323,,
1847,103.68,63488,314.72,34,31,0.05078125,0.2804081439971924,1465.8680419921875,120,-0.8485278598964214,0.0013035675801802427,3058.2659606933594,0.2,0.00025,0.00642646,,
1848,101.36,65536,305.44,35,32,0.060546875,0.14187544584274292,1704.598388671875,124,-0.8125915788114071,0.0005243186606094241,4149.336730957031,0.2,0.00025,0.0025318735,,
1848,100.72,67584,302.88,36,33,0.1907958984375,0.1628328561782837,2437.898193359375,128,-0.7847721502184868,0.0010807276994455606,4576.295379638672,0.2,0.00025,0.010515049,,
1849,101.04,69632,304.16,37,34,0.0098876953125,0.32639461755752563,1291.138916015625,132,-0.834269143640995,-0.0004555781779345125,2804.7515563964844,0.2,0.00025,0.0046343417,,
1849,99.68,71680,298.72,38,35,0.0814208984375,0.1407507061958313,1763.388916015625,136,-0.827708724886179,1.555390190333128e-05,3215.550521850586,0.2,0.00025,0.0035811407,,
1850,99.84,73728,299.36,39,36,0.0125732421875,0.19746166467666626,1634.7027587890625,140,-0.8509274460375309,0.0012034735118504614,3053.9329681396484,0.2,0.00025,0.006462709,,
1851,102.72,75776,310.88,40,37,0.1995849609375,0.20373940467834473,1428.5804443359375,144,-0.8973305933177471,0.004023174551548436,2964.457565307617,0.2,0.00025,0.010671223,,
1851,103.76,77824,315.04,42,38,0.020263671875,0.3410876393318176,932.78173828125,148,-0.9891045950353146,0.0006236584158614278,2105.995895385742,0.2,0.00025,0.0027887214,,
1852,105.2,79872,320.8,43,39,0.2169189453125,0.32433050870895386,1292.3358154296875,152,-0.8858785703778267,0.0018426832975819707,2684.6395111083984,0.2,0.00025,0.008408357,,
1852,105.84,81920,323.36,44,40,0.1749267578125,0.28958243131637573,1342.8057861328125,156,-0.9531699419021606,0.003014060785062611,2645.352752685547,0.2,0.00025,0.021959467,,
1853,107.92,83968,331.68,45,41,0.10498046875,0.2968231439590454,1533.2681884765625,160,-0.9496611729264259,0.00042381411185488105,3217.142852783203,0.2,0.00025,0.007985594,,
1853,108.8,86016,335.2,46,42,0.0469970703125,0.3220497965812683,1583.6851806640625,164,-0.9865403324365616,0.0006590946868527681,3034.235305786133,0.2,0.00025,0.0026355546,,
1854,109.2,88064,336.8,47,43,0.0982666015625,0.4037969708442688,1367.3931884765625,168,-0.9785972200334072,-0.0002853864280041307,2500.410903930664,0.2,0.00025,0.006767665,,
1855,111.2,90112,344.8,48,44,0.0714111328125,0.4854671359062195,1298.658935546875,172,-0.9858334325253963,-0.0019026903028134257,2412.3254623413086,0.2,0.00025,0.002097323,,
1855,112.16,92160,348.64,49,45,0.1019287109375,0.5181072950363159,1060.396484375,176,-0.9824170880019665,-0.00320555322105065,2203.6320037841797,0.2,0.00025,0.014871553,,
1856,112.0,94208,348.0,50,46,0.0885009765625,0.5439252853393555,1238.2391357421875,180,-0.938901025801897,-0.0009575895383022726,2674.904510498047,0.2,0.00025,0.007808203,,
1856,111.52,96256,346.08,51,47,0.073486328125,0.40538567304611206,1505.1104736328125,184,-0.8779171779751778,0.001684737711912021,3218.154281616211,0.2,0.00025,0.010126876,,
1857,109.04,98304,336.16,52,48,0.0084228515625,0.30779629945755005,1989.499267578125,188,-0.7691307663917542,0.001014926063362509,3735.204849243164,0.2,0.00025,0.0027996222,,
1857,112.8,100352,351.2,54,49,0.1436767578125,0.30017513036727905,1424.5308837890625,192,-0.948960579931736,-0.0033852159685920924,3072.4486694335938,0.2,0.00025,0.024381034,,
1858,110.64,102400,342.56,55,50,0.113525390625,0.27982962131500244,1127.9169921875,196,-0.9881132580339909,0.001418543077306822,2674.8263244628906,0.2,0.00025,0.0077122315,,
1859,113.28,104448,353.12,56,51,0.0634765625,0.2783748507499695,1103.5615234375,200,-0.9932552762329578,-0.0038088751898612827,2455.6986541748047,0.2,0.00025,0.0061018956,,
1859,112.48,106496,349.92,57,52,0.18115234375,0.44191330671310425,1306.1944580078125,204,-1.0004249289631844,0.003373070911038667,2281.761734008789,0.2,0.00025,0.0076601733,,
1860,119.44,108544,377.76,58,53,0.1942138671875,0.3377402424812317,1024.5081787109375,208,-1.0387101918458939,0.0018704448884818703,2320.9470138549805,0.2,0.00025,0.013960587,,
1860,122.48,110592,389.92,59,54,0.2254638671875,0.43764907121658325,1209.4072265625,212,-1.0570106953382492,0.0005543507286347449,2695.8909301757812,0.2,0.00025,0.007007046,,
1861,121.44,112640,385.76,60,55,0.187255859375,0.5344178080558777,1041.8109130859375,216,-1.0702866241335869,0.00012538532610051334,2069.8822860717773,0.2,0.00025,0.010856883,,
1861,124.56,114688,398.24,61,56,0.124755859375,0.40818268060684204,1017.4880981445312,220,-1.0670607015490532,-0.00047177018132060766,2120.59920501709,0.2,0.00025,0.0127994325,,
1862,126.72,116736,406.88,62,57,0.1002197265625,0.2607614994049072,1271.6539306640625,224,-1.0768078789114952,0.0012620585621334612,2758.003631591797,0.2,0.00025,0.013570949,,
1863,133.92,118784,435.68,63,58,0.3856201171875,0.2817925810813904,1712.00244140625,228,-1.0376945734024048,0.010527382168220356,3275.158218383789,0.2,0.00025,0.033312947,,
1863,127.28,120832,409.12,64,59,0.48291015625,0.27117931842803955,1819.166015625,232,-0.9643417485058308,0.016596483706962317,3864.799072265625,0.2,0.00025,0.030369442,,
1864,125.04,122880,400.16,65,60,0.1246337890625,0.25658082962036133,2446.662353515625,236,-0.8557057268917561,0.003639813046902418,4643.757659912109,0.2,0.00025,0.0022125042,,
1864,120.64,124928,382.56,66,61,0.074951171875,0.11113476753234863,2178.116943359375,240,-0.8357612565159798,-0.0009452555241296068,4177.578140258789,0.2,0.00025,0.006452214,,
1865,115.04,126976,360.16,68,62,0.0841064453125,0.0893828272819519,2369.70947265625,244,-0.8143137730658054,0.003391025005839765,4328.499038696289,0.2,0.00025,0.009841392,,
1865,110.48,129024,341.92,69,63,0.17529296875,0.17292296886444092,1776.366455078125,248,-0.8145109228789806,0.006238191417651251,4071.213394165039,0.2,0.00025,0.017791351,,
1866,108.96,131072,335.84,70,64,0.08251953125,0.2134455442428589,1573.76953125,252,-0.8264460638165474,-0.0013693947112187743,3501.536834716797,0.2,0.00025,0.0079802815,,
1866,109.28,133120,337.12,71,65,0.068359375,0.26332223415374756,1864.8907470703125,256,-0.7907308749854565,-0.0021194640430621803,3750.366668701172,0.2,0.00025,0.0031983086,,
1867,109.44,135168,337.76,72,66,0.0345458984375,0.30088382959365845,1315.97900390625,260,-0.8300070352852345,-0.0004477811453398317,2973.533477783203,0.2,0.00025,0.00468033,,
1868,108.48,137216,333.92,73,67,0.056640625,0.31434231996536255,1754.9468994140625,264,-0.711109109222889,-0.0022147378185763955,3413.886749267578,0.2,0.00025,0.0040799184,,
1868,106.96,139264,327.84,74,68,0.0291748046875,0.24275338649749756,1622.5130615234375,268,-0.758207805454731,-0.00043236202327534556,3610.6585998535156,0.2,0.00025,0.003603049,,
1869,108.16,141312,332.64,75,69,0.0452880859375,0.18629562854766846,2029.05810546875,272,-0.7736849635839462,0.0006645902467425913,3740.4963989257812,0.2,0.00025,0.0054468326,,
1869,107.92,143360,331.68,76,70,0.0194091796875,0.25267648696899414,1861.924560546875,276,-0.7681050300598145,-0.0021984123159199953,3777.700973510742,0.2,0.00025,0.002936445,,
1870,109.76,145408,339.04,77,71,0.077392578125,0.08432137966156006,1471.14794921875,280,-0.7518461458384991,0.0009333913330920041,3370.9165802001953,0.2,0.00025,0.011978264,,
1870,110.32,147456,341.28,78,72,0.0582275390625,0.18741416931152344,2021.4332275390625,284,-0.6997048780322075,0.0014147924957796931,3573.982925415039,0.2,0.00025,0.00458565,,
1871,111.2,149504,344.8,79,73,0.115234375,0.2316218614578247,1623.65087890625,288,-0.6594872958958149,0.003897071903338656,3956.487350463867,0.2,0.00025,0.008475,,
,,150000,,,,0.066162109375,0.2270965576171875,2226.8779296875,292,-0.7447424195706844,0.0019006988150067627,3655.6441955566406,0.2,0.00025,0.012390079,284.0,96.0
