time/episodes,time/total_timesteps,time/fps,rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
380,81567,1014,0.9192486700000001,80,-20.77,861.43,,,,,
384,82398,1014,0.9184259800000001,81,-20.79,859.6,,,,,
388,83267,1015,0.91756567,82,-20.8,861.41,,,,,
392,84082,1015,0.91675882,82,-20.81,860.23,,,,,
396,84914,1015,0.9159351400000001,83,-20.83,860.36,,,,,
400,85764,1015,0.91509364,84,-20.83,862.57,,,,,
404,86665,1015,0.91420165,85,-20.81,865.41,,,,,
408,87591,1015,0.91328491,86,-20.77,871.55,,,,,
412,88389,1015,0.91249489,87,-20.77,871.71,,,,,
416,89249,1015,0.9116434900000001,87,-20.73,873.47,,,,,
420,90108,1015,0.9107930799999999,88,-20.71,872.17,,,,,
424,91042,1015,0.9098684199999999,89,-20.69,877.19,,,,,
428,91872,1015,0.9090467200000001,90,-20.7,874.18,,,,,
432,92743,1015,0.9081844299999999,91,-20.71,872.89,,,,,
436,93527,1015,0.9074082700000001,92,-20.7,870.75,,,,,
440,94374,1015,0.90656974,92,-20.7,871.52,,,,,
444,95232,1015,0.90572032,93,-20.69,875.66,,,,,
448,96105,1015,0.9048560499999999,94,-20.7,876.19,,,,,
452,96932,1015,0.90403732,95,-20.7,875.46,,,,,
456,97765,1015,0.90321265,96,-20.69,874.57,,,,,
460,98610,1015,0.9023760999999999,97,-20.69,876.08,,,,,
464,99474,1015,0.9015207399999999,97,-20.69,876.22,,,,,
,100000,,0.90100099,,,,764.0,-21.0,,,
468,100443,963,0.90056143,104,-20.69,881.86,,,0.0001,110,0.06217504292726517
472,101236,959,0.8997763599999999,105,-20.68,881.74,,,0.0001,308,0.04236552119255066
476,102050,956,0.8989705,106,-20.69,879.51,,,0.0001,512,0.039811715483665466
480,102888,952,0.8981408799999999,107,-20.72,874.51,,,0.0001,721,0.03504155948758125
484,103728,949,0.89730928,109,-20.7,875.09,,,0.0001,931,0.07450465112924576
488,104561,946,0.8964846100000001,110,-20.69,873.82,,,0.0001,1140,0.05386345088481903
492,105415,943,0.8956391499999999,111,-20.69,875.79,,,0.0001,1353,0.02019018679857254
496,106320,939,0.8947432000000001,113,-20.69,879.29,,,0.0001,1579,0.0013851835392415524
500,107145,936,0.8939264499999999,114,-20.69,878.26,,,0.0001,1786,0.05264673009514809
504,108030,933,0.8930503,115,-20.68,877.46,,,0.0001,2007,0.043409157544374466
508,108835,930,0.89225335,116,-20.72,872.53,,,0.0001,2208,0.014236691407859325
512,109619,927,0.89147719,118,-20.72,871.94,,,0.0001,2404,0.022536542266607285
516,110477,924,0.89062777,119,-20.74,871.84,,,0.0001,2619,0.058462392538785934
520,111309,921,0.8898040899999999,120,-20.76,870.83,,,0.0001,2827,0.01369168795645237
524,112211,918,0.8889111099999999,122,-20.76,869.1,,,0.0001,3052,0.023800533264875412
528,113083,915,0.88804783,123,-20.75,870.63,,,0.0001,3270,0.03455319255590439
532,113955,912,0.88718455,124,-20.74,871.09,,,0.0001,3488,0.08082658052444458
536,114763,910,0.88638463,126,-20.75,871.62,,,0.0001,3690,0.037890687584877014
540,115651,907,0.88550551,127,-20.75,873.36,,,0.0001,3912,0.030800459906458855
544,116517,905,0.8846481700000001,128,-20.75,873.63,,,0.0001,4129,0.008421506732702255
548,117390,902,0.8837839000000001,130,-20.73,873.35,,,0.0001,4347,0.02164613828063011
552,118303,900,0.8828800299999999,131,-20.72,876.48,,,0.0001,4575,0.010709397494792938
556,119160,897,0.8820316,132,-20.72,877.97,,,0.0001,4789,0.0088273324072361
560,120001,895,0.88119901,134,-20.72,877.59,,,0.0001,5000,0.021479438990354538
564,120844,893,0.88036444,135,-20.72,876.65,,,0.0001,5210,0.04002668336033821
568,121708,890,0.87950908,136,-20.72,871.81,,,0.0001,5426,0.005565018393099308
572,122518,888,0.8787071800000001,137,-20.72,872.86,,,0.0001,5629,0.011957213282585144
576,123318,886,0.87791518,139,-20.71,872.48,,,0.0001,5829,0.010600866749882698
580,124126,884,0.8771152600000001,140,-20.72,871.08,,,0.0001,6031,0.013843771070241928
584,124970,882,0.8762797,141,-20.74,871.03,,,0.0001,6242,0.0027855313383042812
