time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
3956,3.08,45056,11,109.14,22,-0.005416655796580017,84,0.00025,0.006816189,0.2,0.6830989718437195,0.23690641857683659,0.10795097053050995,0.1094970703125,-0.9225421324372292,,
3964,3.23,47104,11,110.17,23,-0.00010347976058255881,88,0.00025,0.002862505,0.2,0.6919257044792175,0.23548009805381298,0.12744402885437012,0.0140380859375,-0.9032912254333496,,
3973,3.15,49152,12,109.67,24,-0.0004353482509031892,92,0.00025,0.008374227,0.2,0.5317480564117432,0.31528839096426964,0.1057128980755806,0.0302734375,-0.8848853297531605,,
3983,3.18,51200,12,108.59,25,-0.0018468950293026865,96,0.00025,0.0124299945,0.2,0.649391770362854,0.2694115675985813,0.11258291453123093,0.0574951171875,-0.8447137214243412,,
3987,3.35,53248,13,109.54,26,-0.0034418628783896565,100,0.00025,0.0074533643,0.2,0.614004909992218,0.3181594628840685,0.14914095401763916,0.0545654296875,-0.8497316911816597,,
3995,3.43,55296,13,110.38,27,-0.0012949673691764474,104,0.00025,0.011542717,0.2,0.73839271068573,0.23880581837147474,0.1144600510597229,0.012939453125,-0.8465470895171165,,
4000,3.49,57344,14,110.44,28,-0.0029680690495297313,108,0.00025,0.004001525,0.2,0.7036327123641968,0.2193648237735033,0.09049928188323975,0.0333251953125,-0.8524796292185783,,
4008,3.56,59392,14,110.5,29,0.0006531741819344461,112,0.00025,0.003881599,0.2,0.5615198016166687,0.33668022975325584,0.1719478964805603,0.0118408203125,-0.8606471009552479,,
4012,3.71,61440,15,112.66,30,-0.0014729131653439254,116,0.00025,0.012791468,0.2,0.6155729293823242,0.30941143818199635,0.13152199983596802,0.0360107421875,-0.8255555555224419,,
4017,3.7,63488,15,114.48,31,-0.0009152580169029534,120,0.00025,0.005869896,0.2,0.6371448636054993,0.3193561155349016,0.15622533857822418,0.032958984375,-0.8276862688362598,,
4017,3.62,65536,16,114.59,32,0.0002747750550042838,124,0.00025,0.008555576,0.2,0.7246114015579224,0.2816445045173168,0.12420587986707687,0.030517578125,-0.835600383579731,,
4019,3.62,67584,16,114.93,33,-0.0004876619786955416,128,0.00025,0.003385824,0.2,0.7943257093429565,0.22917026281356812,0.10399086028337479,0.0274658203125,-0.7727451249957085,,
4024,3.63,69632,17,115.85,34,-0.0003655856125988066,132,0.00025,0.0025731877,0.2,0.7194055318832397,0.3341072592884302,0.16157962381839752,0.08544921875,-0.7939084693789482,,
4027,3.62,71680,17,116.19,35,-0.0017901029495988041,136,0.00025,0.001803247,0.2,0.6310847997665405,0.3236483857035637,0.15164022147655487,0.0992431640625,-0.7954370938241482,,
