rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/clip_fraction,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
76.73684210526316,1,0,-0.05263157894736842,2048,2446,,,,,,,,,,,,
75.75,2,1,0.022727272727272728,4096,2714,0.0,-1.3840668424963951,0.03323311358690262,4,0.2,0.00025,-0.03738367557525635,-0.0038192711072042584,0.3128056572750211,0.004328035,,
75.83561643835617,3,2,0.0273972602739726,6144,3053,0.0067138671875,-1.3691878914833069,0.03687597066164017,8,0.2,0.00025,0.14647650718688965,-0.0016795084229670465,0.11655648797750473,0.0075144097,,
77.33333333333333,4,2,0.14583333333333334,8192,3250,0.009033203125,-1.3449271693825722,0.039705827832221985,12,0.2,0.00025,0.4107808470726013,-0.0015815451624803245,0.11219347175210714,0.007728083,,
80.4,5,3,0.34,10240,3392,0.05908203125,-1.312731720507145,0.048341765999794006,16,0.2,0.00025,0.4218897223472595,-0.004967551329173148,0.14461778569966555,0.012000497,,
86.19,6,3,0.74,12288,3508,0.00390625,-1.3020166754722595,0.061943717300891876,20,0.2,0.00025,0.40426433086395264,-0.0024117580032907426,0.1659184666350484,0.004711327,,
91.13,7,3,1.14,14336,3593,0.0372314453125,-1.2488805130124092,0.12361188232898712,24,0.2,0.00025,0.34019654989242554,-0.002660637575900182,0.28800891898572445,0.0037831091,,
98.77,8,4,1.7,16384,3651,0.0848388671875,-1.2241018116474152,0.18594379723072052,28,0.2,0.00025,0.34177523851394653,-0.0026372656284365803,0.3324620742350817,0.0076175164,,
102.5,9,4,2.0,18432,3696,0.057861328125,-1.1959998160600662,0.11067430675029755,32,0.2,0.00025,0.525954008102417,-0.003961191978305578,0.25211233645677567,0.009311452,,
108.98,10,5,2.49,20480,3735,0.0499267578125,-1.173348680138588,0.10232000052928925,36,0.2,0.00025,0.4780678153038025,-0.002642639447003603,0.2521922346204519,0.012661153,,
111.21,11,5,2.79,22528,3766,0.0406494140625,-1.1541375815868378,0.10489603877067566,40,0.2,0.00025,0.5445728302001953,-0.00243234311346896,0.26677150186151266,0.006015691,,
