time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/learning_rate,train/clip_range,train/n_updates,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
133120,-290.32,40,71.4,3311,65,0.157470703125,0.0001,0.2,256,2368.881462097168,0.12836412,0.01708865407272242,-0.5369078908115625,1265.921142578125,0.0903368592262268,,
135168,-289.88,40,71.62,3320,66,0.0177001953125,0.0001,0.2,260,1919.8028030395508,0.00067460537,-2.1193758584558964e-05,-0.3118252791464329,880.2525024414062,0.13338226079940796,,
137216,-298.88,41,73.71,3331,67,0.0260009765625,0.0001,0.2,264,1832.4391708374023,0.00060037116,0.0014842010277789086,-0.41794431023299694,936.5109252929688,0.13786643743515015,,
139264,-304.15,41,75.0,3341,68,0.0450439453125,0.0001,0.2,268,1614.5106887817383,0.0013658245,0.0029575773514807224,-0.3149652983993292,834.4893798828125,0.13202530145645142,,
141312,-303.65,42,75.0,3351,69,0.0723876953125,0.0001,0.2,272,1749.9175720214844,0.014052962,0.0037496925506275147,-0.4196145962923765,935.1634521484375,0.14379918575286865,,
143360,-301.63,42,74.89,3360,70,0.0244140625,0.0001,0.2,276,1816.3361434936523,0.004005175,0.00116820348193869,-0.3414995651692152,1001.7625732421875,0.15380167961120605,,
145408,-301.18,43,74.89,3369,71,0.0091552734375,0.0001,0.2,280,1937.5554122924805,0.0014418521,0.00031120781204663217,-0.26748418156057596,961.0366821289062,0.13772809505462646,,
147456,-301.58,43,74.89,3377,72,0.02587890625,0.0001,0.2,284,1713.5934982299805,0.001643203,0.0023255669802892953,-0.30721093714237213,728.6596069335938,0.15610724687576294,,
149504,-301.31,44,74.86,3386,73,0.0078125,0.0001,0.2,288,1851.1121292114258,0.00091432896,-0.0003444101312197745,-0.2531558368355036,827.538330078125,0.16111183166503906,,
149952,,,,,,0.0177001953125,0.0001,0.2,292,1932.984519958496,0.00013353236,-0.00017832775483839214,-0.28752053156495094,948.5751342773438,0.15588754415512085,75.0,-300.0
151552,-301.31,45,74.86,3302,74,,,,,,,,,,,,
153600,-297.03,46,74.16,3310,75,0.036376953125,0.0001,0.2,296,1815.8684310913086,0.0012549888,0.006997634540311992,-0.367143115028739,892.6542358398438,0.14597612619400024,,
155648,-299.07,46,74.3,3317,76,0.0208740234375,0.0001,0.2,300,2033.2673797607422,0.0014842374,0.0005238995654508471,-0.3400525711476803,1119.22021484375,0.13648223876953125,,
157696,-291.27,47,72.71,3323,77,0.02294921875,0.0001,0.2,304,1792.297836303711,0.0044158157,0.0013749673089478165,-0.36045509763062,916.1077880859375,0.15093719959259033,,
159744,-288.65,47,72.07,3329,78,0.0240478515625,0.0001,0.2,308,2317.513847351074,0.0042296546,0.0007311074004974216,-0.4620431363582611,1313.89599609375,0.10677677392959595,,
161792,-288.78,48,71.91,3337,79,0.0655517578125,0.0001,0.2,312,2187.8336868286133,0.008400245,0.002832216036040336,-0.6776597686111927,1143.3704833984375,0.13709229230880737,,
163840,-280.6,49,70.55,3343,80,0.0552978515625,0.0001,0.2,316,1778.092399597168,0.0035949876,0.00038930700975470245,-0.6919928975403309,798.1937866210938,0.14549589157104492,,
165888,-289.79,49,72.0,3350,81,0.0458984375,0.0001,0.2,320,2470.944320678711,0.001372812,6.351966294459999e-05,-0.80819296464324,1236.9827880859375,0.13613593578338623,,
167936,-289.3,50,72.16,3356,82,0.0703125,0.0001,0.2,324,2048.619789123535,0.00883155,0.001014496257994324,-0.7953297905623913,1005.8156127929688,0.12191516160964966,,
169984,-287.63,50,72.1,3363,83,0.25732421875,0.0001,0.2,328,2276.1435928344727,0.034821965,0.018063624680507928,-0.879287987947464,1104.2049560546875,0.1492951512336731,,
172032,-275.17,51,69.86,3369,84,0.76220703125,0.0001,0.2,332,2855.0301818847656,0.106871806,0.053547967167105526,-1.098069280385971,1457.880615234375,0.20315343141555786,,
174080,-258.61,51,66.52,3375,85,0.237060546875,0.0001,0.2,336,2883.5899353027344,0.007442671,0.006032801931723952,-1.0507757738232613,1451.4891357421875,0.059600234031677246,,
174944,,,,,,0.1971435546875,0.0001,0.2,340,3050.5511779785156,0.016308788,-0.0013071482244413346,-1.133712887763977,1459.8985595703125,0.04958057403564453,75.0,-300.0
176128,-249.04,53,64.35,3305,86,,,,,,,,,,,,
178176,-238.08,53,62.05,3311,87,0.1407470703125,0.0001,0.2,344,2866.1117095947266,0.008686614,0.0012157808523625135,-1.16613157838583,1603.6070556640625,0.05231064558029175,,
180224,-229.79,54,60.35,3317,88,0.0625,0.0001,0.2,348,3026.8651275634766,0.008714208,0.002757724665571004,-1.100891150534153,1719.2281494140625,0.058377206325531006,,
182272,-228.51,54,59.43,3325,89,0.1669921875,0.0001,0.2,352,3247.0608673095703,0.01982211,0.005548253422603011,-1.1623480916023254,1610.1044921875,0.06021326780319214,,
184320,-236.1,55,60.27,3332,90,0.2169189453125,0.0001,0.2,356,2546.6031799316406,0.004890481,0.005406296346336603,-1.118887759745121,1348.204833984375,0.04351133108139038,,
186368,-253.22,55,62.73,3338,91,0.0736083984375,0.0001,0.2,360,2741.5384521484375,0.005088376,0.0004094147006981075,-1.0943339616060257,1190.6859130859375,0.07413166761398315,,
188416,-258.84,56,63.96,3345,92,0.0538330078125,0.0001,0.2,364,2573.406021118164,0.0061324276,-0.0018377317755948752,-1.0455823168158531,1135.922607421875,0.04219335317611694,,
190464,-272.77,56,66.45,3350,93,0.0625,0.0001,0.2,368,3311.5347442626953,0.008740584,-0.0010209559695795178,-1.1479189097881317,1440.3240966796875,0.04258739948272705,,
192512,-268.39,57,65.85,3356,94,0.19580078125,0.0001,0.2,372,1691.5126647949219,0.023345083,0.002594128280179575,-1.067644163966179,802.4723510742188,0.14778846502304077,,
194560,-267.43,57,65.29,3362,95,0.1070556640625,0.0001,0.2,376,3045.7322998046875,0.0043934993,-0.001970005381735973,-1.0677007660269737,1588.8133544921875,0.052451491355895996,,
196608,-244.61,58,61.55,3369,96,0.04248046875,0.0001,0.2,380,2971.7403106689453,0.00687305,-0.0019765822507906705,-1.1002887859940529,1544.80517578125,0.03240835666656494,,
198656,-263.51,58,64.31,3375,97,0.1148681640625,0.0001,0.2,384,3346.8934631347656,0.0025207347,-0.0010196536895819008,-1.1712907999753952,1865.9898681640625,0.01804184913635254,,
199936,,,,,,0.0306396484375,0.0001,0.2,388,2248.2980346679688,0.0054072067,0.0005349228449631482,-1.0731132701039314,1286.3466796875,0.09493207931518555,75.0,-300.0
200704,-269.37,60,65.47,3312,98,,,,,,,,,,,,
202752,-277.35,61,66.46,3318,99,0.09033203125,0.0001,0.2,392,2716.1661071777344,0.013912564,0.0024619689502287656,-1.1458026692271233,1350.0439453125,0.11587131023406982,,
204800,-246.2,61,61.38,3324,100,0.190185546875,0.0001,0.2,396,3004.9806365966797,0.010114091,0.005766245274571702,-1.1501462757587433,1467.4022216796875,0.04158741235733032,,
206848,-233.93,62,58.54,3330,101,0.161865234375,0.0001,0.2,400,4145.913009643555,0.0022459163,0.004795865505002439,-1.188322275876999,2205.62548828125,0.019280433654785156,,
208896,-238.18,62,58.41,3336,102,0.0594482421875,0.0001,0.2,404,3177.5128021240234,0.015435202,-0.0018581137992441654,-1.267990343272686,1524.59765625,0.06288409233093262,,
210944,-263.78,63,62.05,3342,103,0.0672607421875,0.0001,0.2,408,2928.255355834961,0.01520378,-0.001307379425270483,-1.2729671895503998,1313.707275390625,0.10839760303497314,,
212992,-251.47,63,59.58,3346,104,0.10400390625,0.0001,0.2,412,2503.3048706054688,0.008665588,0.0008038772502914071,-1.2544486448168755,1500.9957275390625,0.13772481679916382,,
215040,-237.79,64,57.19,3351,105,0.0369873046875,0.0001,0.2,416,4639.666412353516,0.009164965,-0.0005429047741927207,-1.2404407411813736,1973.486572265625,0.02629268169403076,,
217088,-190.74,64,49.63,3356,106,0.051513671875,0.0001,0.2,420,3330.695587158203,0.009473937,0.0002861842222046107,-1.2260713949799538,1646.01025390625,0.04761624336242676,,
219136,-158.49,65,44.23,3360,107,0.084228515625,0.0001,0.2,424,5377.020111083984,0.004243152,0.002031278098002076,-1.258176364004612,2543.22412109375,0.012948989868164062,,
221184,-168.47,65,45.61,3365,108,0.0716552734375,0.0001,0.2,428,6425.872528076172,0.006068787,-0.0014623213792219758,-1.2865947932004929,3216.0556640625,0.006596803665161133,,
223232,-164.34,66,44.76,3369,109,0.1158447265625,0.0001,0.2,432,3956.067184448242,0.00865026,-0.002225616743089631,-1.3042264878749847,1806.870849609375,0.044732749462127686,,
224928,,,,,,0.0079345703125,0.0001,0.2,436,5532.4576416015625,0.003327473,0.0005411461752373725,-1.3033735007047653,2795.59716796875,0.03829926252365112,56.9,-236.2
225280,-189.13,67,48.2,3326,110,,,,,,,,,,,,
227328,-194.02,68,48.99,3331,111,0.2437744140625,0.0001,0.2,440,3927.7861938476562,0.0357315,0.008904467598767951,-1.2598963156342506,1836.3671875,0.06710654497146606,,
229376,-134.16,68,39.86,3334,112,0.287109375,0.0001,0.2,444,4544.731628417969,0.008639191,0.020030310202855617,-1.2555269747972488,2378.451416015625,0.039632976055145264,,
231424,-124.16,69,38.5,3338,113,0.1070556640625,0.0001,0.2,448,6188.152984619141,0.0062759058,0.00033836334478110075,-1.2523346245288849,3026.79150390625,0.021291792392730713,,
233472,-131.13,69,39.93,3342,114,0.0849609375,0.0001,0.2,452,4988.192901611328,0.005603933,-0.0018451977812219411,-1.2464311346411705,2268.430419921875,0.008073925971984863,,
235520,-167.19,70,45.38,3347,115,0.06396484375,0.0001,0.2,456,5590.108154296875,0.00750582,-0.0017073792987503111,-1.2592345625162125,2810.17236328125,0.03734630346298218,,
237568,-188.83,70,48.75,3351,116,0.0167236328125,0.0001,0.2,460,3496.5585021972656,0.006909899,-0.0006548299279529601,-1.269277200102806,2068.061279296875,0.0342220664024353,,
239616,-163.53,71,44.69,3355,117,0.0484619140625,0.0001,0.2,464,3899.3017578125,0.0013740234,-0.001288020022911951,-1.2605636045336723,1796.4161376953125,0.049089133739471436,,
241664,-151.81,71,42.73,3359,118,0.083251953125,0.0001,0.2,468,5612.888641357422,0.0026360373,0.0003287672880105674,-1.2719336450099945,3135.36328125,0.044048011302948,,
243712,-159.19,72,43.74,3364,119,0.09033203125,0.0001,0.2,472,4724.269470214844,0.0074256915,-0.00023489375598728657,-1.274985410273075,2365.456787109375,0.0671655535697937,,
245760,-193.23,72,48.9,3368,120,0.056884765625,0.0001,0.2,476,3531.4930877685547,0.007401035,-0.000500677662785165,-1.2758261263370514,1849.1690673828125,0.08238935470581055,,
247808,-161.44,73,44.54,3372,121,0.04833984375,0.0001,0.2,480,3818.259048461914,0.004752512,-0.00017051995382644236,-1.3049245402216911,1961.0833740234375,0.09853017330169678,,
249856,-141.25,73,41.7,3376,122,0.0435791015625,0.0001,0.2,484,5263.644561767578,0.0061039105,-0.0020964375580661,-1.3092008605599403,2503.419677734375,0.05637383460998535,,
249920,,,,,,0.0103759765625,0.0001,0.2,488,4925.461181640625,0.007497382,0.0001425274385837838,-1.3189224153757095,2668.303466796875,0.10595083236694336,67.7,-265.0
251904,-156.77,75,44.19,3330,123,,,,,,,,,,,,
253952,-156.39,76,44.12,3335,124,0.1663818359375,0.0001,0.2,492,4481.856109619141,0.006968033,0.0016309811035171151,-1.3386211767792702,2182.76611328125,0.12394964694976807,,
