time/fps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/n_updates,train/loss
1016,895.12,336,0.9284319100000001,71,72291,-20.65,,,,,
1016,891.7,340,0.9276597099999999,71,73071,-20.64,,,,,
1016,891.9,344,0.92681623,72,73923,-20.65,,,,,
1016,893.45,348,0.92595592,73,74792,-20.63,,,,,
1016,889.38,352,0.9251292700000001,74,75627,-20.65,,,,,
1016,887.38,356,0.92425411,75,76511,-20.66,,,,,
1017,889.55,360,0.9233551900000001,76,77419,-20.65,,,,,
1017,893.28,364,0.9224443900000001,77,78339,-20.63,,,,,
1017,890.71,368,0.9216118,77,79180,-20.63,,,,,
1017,893.95,372,0.9207019900000001,78,80099,-20.64,,,,,
1017,892.63,376,0.9198703899999999,79,80939,-20.64,,,,,
1017,888.46,380,0.9190348300000001,80,81783,-20.66,,,,,
1017,889.47,384,0.9181517499999999,81,82675,-20.67,,,,,
1017,885.51,388,0.91738648,82,83448,-20.69,,,,,
1017,886.97,392,0.9164727100000001,82,84371,-20.64,,,,,
1017,890.05,396,0.9156025,83,85250,-20.62,,,,,
1017,890.25,400,0.9147530799999999,84,86108,-20.63,,,,,
1017,892.69,404,0.91386505,85,87005,-20.62,,,,,
1017,889.68,408,0.91304929,86,87829,-20.62,,,,,
1017,888.62,412,0.91220581,87,88681,-20.63,,,,,
1017,884.95,416,0.9113415400000001,87,89554,-20.67,,,,,
1017,885.34,420,0.91051984,88,90384,-20.67,,,,,
1017,882.35,424,0.9096902200000001,89,91222,-20.67,,,,,
1017,882.2,428,0.9088912900000001,90,92029,-20.67,,,,,
1017,879.6,432,0.90802504,91,92904,-20.7,,,,,
1017,881.0,436,0.90714988,92,93788,-20.68,,,,,
1017,883.32,440,0.9063034299999999,92,94643,-20.67,,,,,
1017,885.26,444,0.9054193599999999,93,95536,-20.65,,,,,
1017,883.4,448,0.9046095399999999,94,96354,-20.65,,,,,
1017,886.05,452,0.9037175499999999,95,97255,-20.65,,,,,
1017,884.22,456,0.9028790200000001,96,98102,-20.64,,,,,
1017,884.99,460,0.90197713,97,99013,-20.62,,,,,
1017,881.07,464,0.9011772100000001,98,99821,-20.64,,,,,
,,,0.90100099,,100000,,-21.0,764.0,,,
963,883.04,468,0.9003050199999999,104,100702,-20.64,,,0.0001,175,0.09643849730491638
959,880.61,472,0.89945263,105,101563,-20.64,,,0.0001,390,0.06897686421871185
956,882.18,476,0.8985873699999999,107,102437,-20.63,,,0.0001,609,0.04065999388694763
952,881.67,480,0.8977636899999999,108,103269,-20.61,,,0.0001,817,0.02912568673491478
949,880.55,484,0.89690734,109,104134,-20.62,,,0.0001,1033,0.03387247771024704
946,881.57,488,0.8961183099999999,110,104931,-20.62,,,0.0001,1232,0.0034293178468942642
