rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,train/loss,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
0.07,79.66,26658,332,2304,0.9366872499999999,11,,,,,
0.08,79.71,26994,336,2303,0.9358892500000001,11,,,,,
0.08,79.58,27286,340,2303,0.9351957500000002,11,,,,,
0.05,78.99,27580,344,2305,0.9344975000000002,11,,,,,
0.1,79.43,27940,348,2304,0.9336424999999998,12,,,,,
0.09,79.24,28232,352,2301,0.9329489999999999,12,,,,,
0.05,79.32,28604,356,2300,0.9320654999999999,12,,,,,
0.08,79.88,28922,360,2300,0.9313102500000002,12,,,,,
0.08,79.67,29267,364,2301,0.9304908750000002,12,,,,,
0.09,79.44,29564,368,2302,0.9297855000000002,12,,,,,
0.06,79.22,29864,372,2304,0.9290730000000003,12,,,,,
0.06,79.72,30192,376,2305,0.928294,13,,,,,
0.02,79.33,30491,380,2307,0.9275838749999998,13,,,,,
0.01,79.04,30793,384,2307,0.9268666249999998,13,,,,,
0.02,78.97,31078,388,2309,0.9261897500000001,13,,,,,
-0.01,78.39,31343,392,2311,0.9255603750000002,13,,,,,
0.03,79.06,31696,396,2312,0.9247220000000002,13,,,,,
0.04,79.07,31973,400,2313,0.9240641249999999,13,,,,,
0.03,79.6,32342,404,2310,0.9231877499999998,13,,,,,
0.04,79.76,32705,408,2311,0.922325625,14,,,,,
0.1,79.96,33032,412,2310,0.9215490000000002,14,,,,,
0.1,80.04,33336,416,2309,0.920827,14,,,,,
0.1,79.95,33638,420,2309,0.9201097499999998,14,,,,,
0.07,79.52,33948,424,2309,0.9193734999999998,14,,,,,
0.09,79.82,34296,428,2309,0.9185469999999998,14,,,,,
0.1,80.3,34688,432,2309,0.9176159999999999,15,,,,,
0.08,80.33,35027,436,2309,0.9168108750000002,15,,,,,
0.06,80.02,35288,440,2307,0.916191,15,,,,,
0.1,80.36,35616,444,2308,0.9154119999999998,15,,,,,
0.05,79.75,35915,448,2309,0.9147018750000002,15,,,,,
0.05,79.96,36228,452,2305,0.9139585000000002,15,,,,,
0.01,79.13,36517,456,2306,0.9132721250000002,15,,,,,
-0.03,78.95,36817,460,2307,0.9125596249999998,15,,,,,
-0.04,78.7,37137,464,2307,0.9117996250000001,16,,,,,
-0.06,79.13,37477,468,2307,0.910992125,16,,,,,
-0.03,78.84,37748,472,2308,0.9103485000000002,16,,,,,
-0.01,79.47,38139,476,2309,0.9094198750000002,16,,,,,
0.04,80.25,38516,480,2311,0.9085245,16,,,,,
0.07,80.82,38875,484,2309,0.907671875,16,,,,,
0.17,81.98,39276,488,2307,0.9067194999999998,17,,,,,
0.16,82.72,39615,492,2308,0.905914375,17,,,,,
0.16,82.0,39896,496,2309,0.9052470000000001,17,,,,,
0.2,82.54,40227,500,2310,0.9044608749999999,17,,,,,
0.21,82.14,40556,504,2308,0.9036795,17,,,,,
0.19,81.81,40886,508,2307,0.9028957500000001,17,,,,,
0.18,82.47,41279,512,2309,0.9019623749999999,17,,,,,
0.19,82.75,41611,516,2310,0.9011738749999999,18,,,,,
0.19,82.72,41910,520,2309,0.9004637499999998,18,,,,,
0.17,82.55,42203,524,2308,0.899767875,18,,,,,
0.17,82.23,42519,528,2305,0.8990173750000001,18,,,,,
0.17,82.21,42909,532,2307,0.8980911249999998,18,,,,,
0.16,81.59,43186,536,2308,0.8974332500000002,18,,,,,
0.18,82.43,43531,540,2309,0.896613875,18,,,,,
0.15,82.35,43851,544,2309,0.8958538749999998,18,,,,,
0.16,82.97,44212,548,2310,0.8949965000000002,19,,,,,
0.2,83.68,44596,552,2310,0.8940844999999998,19,,,,,
0.24,84.2,44937,556,2311,0.893274625,19,,,,,
0.27,84.29,45246,560,2311,0.8925407500000002,19,,,,,
0.23,84.03,45540,564,2309,0.8918425000000002,19,,,,,
0.23,83.06,45783,568,2310,0.8912653750000002,19,,,,,
0.21,83.51,46099,572,2311,0.8905148750000003,19,,,,,
0.19,83.28,46467,576,2312,0.8896408749999999,20,,,,,
0.14,82.5,46766,580,2313,0.8889307499999998,20,,,,,
0.13,82.04,47079,584,2312,0.8881873749999998,20,,,,,
0.02,81.02,47378,588,2312,0.8874772500000002,20,,,,,
0.03,80.68,47683,592,2313,0.8867528750000002,20,,,,,
0.01,81.17,48013,596,2313,0.8859691249999998,20,,,,,
0.0,80.84,48311,600,2312,0.885261375,20,,,,,
0.0,81.05,48661,604,2311,0.8844301249999998,21,,,,,
-0.01,80.84,48970,608,2312,0.8836962500000001,21,,,,,
-0.03,80.18,49297,612,2313,0.8829196250000002,21,,,,,
-0.04,80.17,49628,616,2312,0.8821335,21,,,,,
0.01,80.59,49969,620,2312,0.8813236250000002,21,,,,,
0.05,81.13,50316,624,2223,0.8804995,22,0.015383058227598667,78,0.0001,,
0.08,81.4,50659,628,2180,0.879684875,23,1.4785115126869641e-05,164,0.0001,,
0.04,80.58,50967,632,2140,0.878953375,23,7.602143159601837e-05,241,0.0001,,
0.04,81.22,51308,636,2101,0.8781435000000002,24,0.01603906787931919,326,0.0001,,
0.05,80.64,51595,640,2066,0.8774618749999998,24,5.5417316616512835e-05,398,0.0001,,
0.05,80.32,51883,644,2030,0.8767778750000003,25,4.9695860070642084e-05,470,0.0001,,
0.05,80.11,52223,648,1987,0.8759703750000002,26,0.016058186069130898,555,0.0001,,
0.05,80.1,52606,652,1943,0.8750607500000002,27,0.015238585881888866,651,0.0001,,
0.05,79.7,52907,656,1902,0.8743458749999999,27,0.015443742275238037,726,0.0001,,
0.05,80.09,53255,660,1866,0.8735193749999999,28,0.017756950110197067,813,0.0001,,
0.07,80.57,53597,664,1834,0.8727071250000003,29,0.0001931626466102898,899,0.0001,,
0.12,81.84,53967,668,1807,0.8718283749999998,29,0.030413679778575897,991,0.0001,,
0.13,81.88,54287,672,1781,0.8710683750000001,30,0.01280984841287136,1071,0.0001,,
0.14,81.28,54595,676,1758,0.8703368750000001,31,0.012608186341822147,1148,0.0001,,
0.17,81.3,54896,680,1733,0.8696219999999999,31,0.00010797315917443484,1223,0.0001,,
0.2,82.07,55286,684,1715,0.8686957500000001,32,0.0001680296700214967,1321,0.0001,,
