rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
886.59,67,320,1014,0.9027254285714281,68780,-20.69,,,,,
890.78,68,324,1014,0.9014341857142857,69693,-20.67,,,,,
889.47,69,328,1014,0.9002886142857138,70503,-20.68,,,,,
894.36,70,332,1014,0.8989577714285714,71444,-20.65,,,,,
895.12,71,336,1014,0.8977598714285709,72291,-20.65,,,,,
891.7,72,340,1014,0.8966567285714284,73071,-20.64,,,,,
891.9,72,344,1014,0.8954517571428571,73923,-20.65,,,,,
893.45,73,348,1014,0.8942227428571434,74792,-20.63,,,,,
889.38,74,352,1014,0.8930418142857143,75627,-20.65,,,,,
887.38,75,356,1014,0.8917915857142854,76511,-20.66,,,,,
889.55,76,360,1014,0.8905074142857139,77419,-20.65,,,,,
893.28,77,364,1014,0.8892062714285712,78339,-20.63,,,,,
890.71,78,368,1014,0.8880168571428576,79180,-20.63,,,,,
893.95,78,372,1014,0.8867171285714284,80099,-20.64,,,,,
892.63,79,376,1014,0.8855291285714283,80939,-20.64,,,,,
888.46,80,380,1014,0.8843354714285718,81783,-20.66,,,,,
889.47,81,384,1014,0.8830739285714291,82675,-20.67,,,,,
885.51,82,388,1014,0.8819806857142858,83448,-20.69,,,,,
886.97,83,392,1013,0.8806753000000002,84371,-20.64,,,,,
890.05,84,396,1014,0.8794321428571423,85250,-20.62,,,,,
890.25,84,400,1014,0.8782186857142853,86108,-20.63,,,,,
892.69,85,404,1014,0.8769500714285716,87005,-20.62,,,,,
889.68,86,408,1014,0.8757847000000003,87829,-20.62,,,,,
888.62,87,412,1014,0.8745797285714288,88681,-20.63,,,,,
884.95,88,416,1014,0.8733450571428567,89554,-20.67,,,,,
885.34,89,420,1014,0.8721711999999997,90384,-20.67,,,,,
882.35,89,424,1014,0.8709860285714288,91222,-20.67,,,,,
882.2,90,428,1014,0.8698446999999998,92029,-20.67,,,,,
879.6,91,432,1014,0.8686072000000005,92904,-20.7,,,,,
881.0,92,436,1014,0.8673569714285716,93788,-20.68,,,,,
883.32,93,440,1014,0.8661477571428574,94643,-20.67,,,,,
885.26,94,444,1014,0.8648848,95536,-20.65,,,,,
883.4,94,448,1014,0.8637279142857144,96354,-20.65,,,,,
886.05,95,452,1014,0.8624536428571432,97255,-20.65,,,,,
884.22,96,456,1014,0.8612557428571428,98102,-20.64,,,,,
884.99,97,460,1014,0.8599673285714285,99013,-20.62,,,,,
881.07,98,464,1014,0.858824585714286,99821,-20.64,,,,,
,,,,0.8585728428571426,100000,,-21.0,764.0,,,
882.63,104,468,961,0.8575941571428577,100691,-20.63,,,172,0.0001,0.06697123497724533
878.66,106,472,957,0.8564316142857145,101513,-20.63,,,378,0.0001,0.041120000183582306
876.98,107,476,953,0.8553114999999996,102305,-20.63,,,576,0.0001,0.06781650334596634
880.28,108,480,950,0.853999042857143,103233,-20.59,,,808,0.0001,0.08292534202337265
881.11,110,484,946,0.8527063857142859,104147,-20.56,,,1036,0.0001,0.03367815166711807
886.83,111,488,942,0.8514137285714288,105061,-20.54,,,1265,0.0001,0.04305513948202133
881.88,112,492,938,0.8502865428571429,105858,-20.59,,,1464,0.0001,0.053682275116443634
880.22,114,496,935,0.8491042000000002,106694,-20.61,,,1673,0.0001,0.05137529969215393
879.09,115,500,932,0.8479303428571432,107524,-20.62,,,1880,0.0001,0.03873315826058388
877.44,116,504,929,0.8467211285714291,108379,-20.62,,,2094,0.0001,0.022637926042079926
877.74,117,508,925,0.8455402,109214,-20.62,,,2303,0.0001,0.02428591623902321
880.61,119,512,922,0.8442404714285718,110133,-20.6,,,2533,0.0001,0.03661763295531273
879.03,120,516,919,0.843069442857143,110961,-20.6,,,2740,0.0001,0.01823517307639122
882.61,122,520,916,0.8417767857142859,111875,-20.56,,,2968,0.0001,0.03154301643371582
885.23,123,524,913,0.8404940285714281,112782,-20.56,,,3195,0.0001,0.007369381375610828
886.59,124,528,910,0.8393102714285718,113619,-20.56,,,3404,0.0001,0.015984129160642624
884.72,126,532,908,0.8381519714285716,114438,-20.56,,,3609,0.0001,0.006437653675675392
883.99,127,536,905,0.8369201285714286,115309,-20.56,,,3827,0.0001,0.004174449481070042
883.49,128,540,902,0.8357307142857139,116150,-20.57,,,4037,0.0001,0.018724191933870316
880.46,129,544,900,0.8345724142857146,116969,-20.59,,,4242,0.0001,0.020021557807922363
885.04,131,548,897,0.8332670285714291,117892,-20.58,,,4472,0.0001,0.018038244917988777
883.19,132,552,894,0.8320436714285717,118757,-20.6,,,4689,0.0001,0.009771090932190418
882.75,134,556,891,0.8308726428571429,119585,-20.59,,,4896,0.0001,0.012868102639913559
885.97,135,560,889,0.8294626000000004,120582,-20.57,,,5145,0.0001,0.007820848375558853
888.32,136,564,886,0.8282236857142853,121458,-20.56,,,5364,0.0001,0.01600751094520092
887.11,138,568,884,0.8270215428571432,122308,-20.57,,,5576,0.0001,0.025854505598545074
890.1,139,572,881,0.8257557571428567,123203,-20.56,,,5800,0.0001,0.013555033132433891
893.15,141,576,879,0.8245125999999998,124082,-20.55,,,6020,0.0001,0.005481960717588663
891.3,142,580,877,0.8232680285714284,124962,-20.57,,,6240,0.0001,0.007027113810181618
888.96,143,584,875,0.8220644714285716,125813,-20.61,,,6453,0.0001,0.03327997773885727
886.12,145,588,873,0.8208792999999998,126651,-20.62,,,6662,0.0001,0.038788408041000366
884.64,146,592,871,0.8198001999999995,127414,-20.62,,,6853,0.0001,0.013061953708529472
886.01,147,596,869,0.8185740142857141,128281,-20.61,,,7070,0.0001,0.015966255217790604
886.95,148,600,867,0.8173619714285716,129138,-20.59,,,7284,0.0001,0.0066317785531282425
888.38,150,604,864,0.8161117428571427,130022,-20.58,,,7505,0.0001,0.014219839125871658
888.45,151,608,862,0.8149322285714283,130856,-20.57,,,7713,0.0001,0.028094112873077393
885.85,153,612,860,0.8137230142857141,131711,-20.59,,,7927,0.0001,0.003700502682477236
884.13,154,616,858,0.8126156285714288,132494,-20.6,,,8123,0.0001,0.0040372563526034355
881.12,155,620,857,0.8114361142857143,133328,-20.63,,,8331,0.0001,0.021568147465586662
879.25,156,624,855,0.810219828571429,134188,-20.64,,,8546,0.0001,0.006059898063540459
877.47,158,628,853,0.8091011285714288,134979,-20.64,,,8744,0.0001,0.022365372627973557
876.56,159,632,851,0.8079484857142859,135794,-20.65,,,8948,0.0001,0.009341152384877205
878.4,160,636,849,0.806651585714286,136711,-20.66,,,9177,0.0001,0.007188190706074238
877.84,162,640,848,0.8054989428571431,137526,-20.66,,,9381,0.0001,0.004165943246334791
878.96,163,644,846,0.804310942857143,138366,-20.64,,,9591,0.0001,0.04716334864497185
877.29,164,648,844,0.8030592999999995,139251,-20.65,,,9812,0.0001,0.028397975489497185
876.1,166,652,843,0.8018783714285715,140086,-20.64,,,10021,0.0001,0.004871529992669821
874.43,167,656,841,0.8007554285714285,140880,-20.67,,,10219,0.0001,0.0038138655945658684
