time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/n_updates,train/explained_variance,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,0,83.6875,2048,0.6875,2782,,,,,,,,,,,,
2,1,81.625,4096,0.475,2867,4,0.002936244010925293,0.0010548006,-2.078731447458267,0.00025,0.0,0.2,0.03889020159840584,-0.0008753070142120123,0.2830081437714398,,
3,1,83.93939393939394,6144,0.5454545454545454,3237,8,0.09407585859298706,0.0010202718,-2.0772338807582855,0.00025,0.0,0.2,0.05402437597513199,-0.0009104520722758025,0.18184182327240705,,
4,2,85.48837209302326,8192,0.627906976744186,3447,12,0.34676873683929443,0.013793261,-2.057370275259018,0.00025,0.0863037109375,0.2,0.04061441868543625,-0.005177717946935445,0.15430695842951536,,
5,2,91.17,10240,0.95,3593,16,0.34359991550445557,0.0118090175,-2.034334257245064,0.00025,0.081787109375,0.2,0.06729017943143845,-0.004588361800415441,0.22372123319655657,,
6,3,94.75,12288,1.29,3702,20,0.3483530282974243,0.0027272748,-2.025803804397583,0.00025,0.0020751953125,0.2,0.12543047964572906,0.00017261848552152514,0.31701565720140934,,
7,3,99.89,14336,1.69,3787,24,0.4308856725692749,0.0026245695,-1.9240074902772903,0.00025,0.065673828125,0.2,0.15009547770023346,-0.0028735811938531697,0.33049462363123894,,
8,4,104.4,16384,2.12,3830,28,0.5259858965873718,0.0064767976,-1.943851850926876,0.00025,0.0169677734375,0.2,0.11384693533182144,-0.0022733395599061623,0.32092320919036865,,
9,4,111.23,18432,2.6,3878,32,0.4544141888618469,0.0059336205,-1.8361265510320663,0.00025,0.055908203125,0.2,0.18047639727592468,-0.003909585881046951,0.37392736226320267,,
10,5,112.14,20480,2.81,3915,36,0.5758450031280518,0.007754213,-1.8168360963463783,0.00025,0.03759765625,0.2,0.1631539762020111,-0.0026344238431192935,0.33667623065412045,,
11,5,110.72,22528,2.85,3948,40,0.5280134677886963,0.0014941324,-1.844458520412445,0.00025,0.0,0.2,0.1896386742591858,-0.0005454781639855355,0.3975967764854431,,
12,6,109.83,24576,2.77,3977,44,0.5539792776107788,0.006542852,-1.795603983104229,0.00025,0.0880126953125,0.2,0.13194142282009125,-0.0042845894349738955,0.32155258394777775,,
13,6,107.99,26624,2.73,4002,48,0.479877233505249,0.007175016,-1.6874117404222488,0.00025,0.1728515625,0.2,0.1422552764415741,-0.0028715381340589374,0.33753472194075584,,
14,7,107.9,28672,2.76,4026,52,0.5019280910491943,0.0028388028,-1.5780600234866142,0.00025,0.01708984375,0.2,0.13703955709934235,-0.001002362696453929,0.35208384692668915,,
15,7,107.05,30720,2.7,4044,56,0.4256134033203125,0.0052627726,-1.667123094201088,0.00025,0.031005859375,0.2,0.17186933755874634,-0.0011613108799792826,0.38225226663053036,,
16,8,107.82,32768,2.79,4061,60,0.48726123571395874,0.0037010151,-1.6118578612804413,0.00025,0.00341796875,0.2,0.1617782860994339,-0.0013039888290222734,0.3696714472025633,,
17,8,109.52,34816,2.87,4071,64,0.5399614572525024,0.0028522057,-1.625667929649353,0.00025,0.005859375,0.2,0.21697920560836792,0.0002939363184850663,0.4495450798422098,,
18,9,110.74,36864,2.89,4083,68,0.548684298992157,0.00491327,-1.604434311389923,0.00025,0.0355224609375,0.2,0.14723460376262665,-0.00258833565749228,0.3551008403301239,,
19,9,112.4,38912,2.97,4098,72,0.577702522277832,0.0032080337,-1.6942599564790726,0.00025,0.022705078125,0.2,0.15586215257644653,-0.0006008851923979819,0.34913881309330463,,
20,9,113.87,40960,3.01,4108,76,0.6159844994544983,0.0034155403,-1.5614285841584206,0.00025,0.0526123046875,0.2,0.18707551062107086,-0.0014647911884821951,0.3717461545020342,,
