time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/loss,train/n_updates,train/clip_range,train/value_loss,train/learning_rate,train/entropy_loss,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1,0.0,1,76.11764705882354,1762,2048,,,,,,,,,,,,
2,-0.11363636363636363,1482,77.5909090909091,2,4096,-0.00011947291204705834,0.0,0.0009018497,0.06394454091787338,4,0.2,0.4770859843119979,0.00025,-1.3854884430766106,-0.027314066886901855,,
3,-0.058823529411764705,1482,77.22058823529412,4,6144,-0.0016893665015231818,0.0,0.0022630387,0.052175372838974,8,0.2,0.18955070618540049,0.00025,-1.3850011751055717,0.11597979068756104,,
4,0.26595744680851063,1483,81.18085106382979,5,8192,-0.0075800527120009065,0.1085205078125,0.010445674,0.060930944979190826,12,0.2,0.16763066593557596,0.00025,-1.3661134913563728,0.4529622197151184,,
5,0.55,1483,85.55,6,10240,-0.0021453161316458136,0.06689453125,0.012219752,0.09562182426452637,16,0.2,0.22963915020227432,0.00025,-1.3414904847741127,0.3830469250679016,,
6,1.0,1484,91.38,8,12288,-0.0012599516776390374,0.02734375,0.010404706,0.10002057254314423,20,0.2,0.2290616063401103,0.00025,-1.3087385967373848,0.4828682541847229,,
7,1.5,1484,96.5,9,14336,-0.003447438939474523,0.11328125,0.013781974,0.10841339826583862,24,0.2,0.2555481167510152,0.00025,-1.218551516532898,0.4904465079307556,,
8,1.9,1485,102.59,11,16384,-0.0015172430430538952,0.012939453125,0.0071796793,0.1155754029750824,28,0.2,0.2932761311531067,0.00025,-1.21101164072752,0.41857361793518066,,
9,2.14,1485,104.8,12,18432,0.00014095957158133388,0.036865234375,0.0044233524,0.126119464635849,32,0.2,0.29891588538885117,0.00025,-1.204294592142105,0.5720759630203247,,
10,2.28,1486,107.43,13,20480,-0.005316927039530128,0.1405029296875,0.0063041765,0.12666237354278564,36,0.2,0.29761050269007683,0.00025,-1.1592548787593842,0.5483324527740479,,
11,2.47,1486,109.48,15,22528,-0.0021127834625076503,0.0172119140625,0.008602557,0.12351994216442108,40,0.2,0.2578916186466813,0.00025,-1.1676992252469063,0.6372561454772949,,
12,2.39,1487,107.56,16,24576,-0.001839053089497611,0.030517578125,0.0028382428,0.14342966675758362,44,0.2,0.30695006996393204,0.00025,-1.2108068689703941,0.5943604707717896,,
13,2.37,1487,106.59,17,26624,-0.002917748293839395,0.1116943359375,0.010948135,0.15399746596813202,48,0.2,0.3811519853770733,0.00025,-1.1663845479488373,0.5072932243347168,,
