rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
339.27272727272725,1,1,2048,1657,109.81818181818181,,,,,,,,,,,,
380.0,949,2,4096,4,120.0,0.2,0.0151759535,-1.3807343095541,2449.645721435547,0.0758056640625,4,0.00025,842.753173828125,-0.0012787580490112305,-0.0003581235068850219,,
400.57142857142856,950,3,6144,6,125.14285714285714,0.2,0.023296775,-1.3631264716386795,2775.3226928710938,0.326416015625,8,0.00025,1252.2037353515625,-0.2468266487121582,0.012695023702690378,,
396.8421052631579,951,4,8192,8,124.21052631578948,0.2,0.18401338,-1.3212441131472588,3241.895797729492,0.447998046875,12,0.00025,1451.7724609375,-0.19786667823791504,0.038943463427131064,,
397.6231884057971,951,5,10240,10,124.40579710144928,0.2,0.037028365,-1.1845900490880013,2821.8274154663086,0.40234375,16,0.00025,1456.877685546875,-0.09386098384857178,0.02216657847748138,,
430.7586206896552,952,6,12288,12,132.68965517241378,0.2,0.7700213,-0.9209082685410976,2784.0116119384766,0.7548828125,20,0.00025,971.1596069335938,-0.008680224418640137,0.1169963798020035,,
413.6,953,7,14336,15,128.4,0.2,0.010219432,-0.832365307956934,3879.8795623779297,0.1541748046875,24,0.00025,1853.5594482421875,-0.07908213138580322,0.008803657838143408,,
391.84,954,8,16384,17,122.96,0.2,0.13714015,-0.5003985185176134,3967.4361419677734,0.078369140625,28,0.00025,1829.4241943359375,-0.040943145751953125,0.008849631412886083,,
360.8,955,9,18432,19,115.2,0.2,0.01250829,-0.29307004529982805,4611.222747802734,0.05712890625,32,0.00025,1914.6732177734375,-0.01575601100921631,0.005882208934053779,,
339.36,955,10,20480,21,109.84,0.2,0.055571623,-0.08075525425374508,4465.870330810547,0.031982421875,36,0.00025,2345.799560546875,-0.029219508171081543,0.003523288090946153,,
290.08,956,11,22528,23,97.52,0.2,0.0033698524,-0.07238298142328858,4102.4915771484375,0.00634765625,40,0.00025,2119.85546875,-0.037967801094055176,3.1791278161108494e-05,,
285.6,957,12,24576,25,96.4,0.2,0.0002987459,-0.09786661621183157,4476.973571777344,0.0045166015625,44,0.00025,2276.6435546875,-0.03201735019683838,0.00029892774182371795,,
284.96,958,13,26624,27,96.24,0.2,0.013201948,-0.11895463429391384,4256.447067260742,0.018798828125,48,0.00025,2382.5107421875,-0.01869809627532959,0.0036095434334129095,,
284.96,958,14,28672,29,96.24,0.2,0.0005167918,-0.035531311528757215,3496.3811950683594,0.002685546875,52,0.00025,1648.385986328125,-0.013218879699707031,8.529049227945507e-05,,
284.96,959,15,30720,32,96.24,0.2,0.0007660198,-0.04038079164456576,3874.612564086914,0.0032958984375,56,0.00025,1963.5460205078125,-0.0029594898223876953,0.00040514726424589753,,
284.96,960,16,32768,34,96.24,0.2,0.0001227904,-0.02874551562126726,4029.350540161133,0.0006103515625,60,0.00025,1852.3233642578125,0.014551401138305664,-0.00010104049579240382,,
284.0,960,17,34816,36,96.0,0.2,0.00016151016,-0.024866535793989897,3591.233169555664,0.00146484375,64,0.00025,2226.667236328125,0.031814754009246826,-0.0001840597396949306,,
